	motifs_int	motifs_str	GR	freq_1	freq_2
2806	[{3}, {9, 10}, {15}]	{pos_NC} {lemma_de,pos_P} {dep_prep}	0.7929500043626211	568.0	471
573	[{9, 11}, {3, 131, 15}]	{lemma_de,dep_dep} {pos_NC,dep_prep,feats_n=p}	0.7929089443996777	369.0	306
1369	[{9, 11}, {131}]	{lemma_de,dep_dep} {feats_n=p}	0.7928528886241811	416.0	345
1485	[{5}, {10}, {80, 81}]	{feats_g=f} {pos_P} {pos_DET,dep_det}	0.7927597985702715	469.0	389
1066	[{3, 4, 15}, {153}]	{pos_NC,feats_n=s,dep_prep} {pos_ADJ}	0.7927067920385661	346.0	287
519	[{4}, {122, 131}, {3, 131, 15}]	{feats_n=s} {pos_P+D,feats_n=p} {pos_NC,dep_prep,feats_n=p}	0.7926091111819051	311.0	258
1277	[{9}, {3, 5, 15}]	{lemma_de} {pos_NC,feats_g=f,dep_prep}	0.7926033581743407	534.0	443
1473	[{10}, {4, 5}, {3, 5}]	{pos_P} {feats_n=s,feats_g=f} {pos_NC,feats_g=f}	0.7925833679258337	358.0	297
2413	[{131, 15}, {42}]	{dep_prep,feats_n=p} {dep_mod}	0.7923742187993182	523.0	434
2152	[{4}, {10}, {80, 81}, {15}]	{feats_n=s} {pos_P} {pos_DET,dep_det} {dep_prep}	0.7921587151629665	559.0	464
2022	[{3, 5}, {11}, {4}]	{pos_NC,feats_g=f} {dep_dep} {feats_n=s}	0.7919821436386713	377.0	313
228	[{80, 81, 19, 4}, {3, 4}]	{feats_n=s,feats_g=m,pos_DET,dep_det} {pos_NC,feats_n=s}	0.7919473246045562	436.0	362
444	[{4}, {3, 19}, {42}]	{feats_n=s} {pos_NC,feats_g=m} {dep_mod}	0.7919077302079056	442.0	367
1234	[{5}, {11}, {19}]	{feats_g=f} {dep_dep} {feats_g=m}	0.7918692001767565	336.0	279
19	[{80, 81}, {3, 5}, {4}]	{pos_DET,dep_det} {pos_NC,feats_g=f} {feats_n=s}	0.7917249091417389	354.0	294
2960	[{9}, {5, 15}]	{lemma_de} {feats_g=f,dep_prep}	0.7916948215492353	537.0	446
2174	[{4}, {19, 4}, {42}]	{feats_n=s} {feats_n=s,feats_g=m} {dep_mod}	0.7916911079672889	478.0	397
96	[{9}, {3, 19, 15}]	{lemma_de} {pos_NC,dep_prep,feats_g=m}	0.7916084747273646	555.0	461
2206	[{3, 15}, {131}]	{pos_NC,dep_prep} {feats_n=p}	0.791534116730507	508.0	422
173	[{4}, {3}, {153, 42}]	{feats_n=s} {pos_NC} {dep_mod,pos_ADJ}	0.7915145789496286	384.0	319
2905	[{80, 81, 4}, {4}, {153}]	{feats_n=s,pos_DET,dep_det} {feats_n=s} {pos_ADJ}	0.7913894324853228	337.0	280
1462	[{80, 81}, {3}, {10, 11}]	{pos_DET,dep_det} {pos_NC} {pos_P,dep_dep}	0.7912700255398188	426.0	354
1459	[{9, 11}, {3, 19, 15}]	{lemma_de,dep_dep} {pos_NC,dep_prep,feats_g=m}	0.7912700255398188	426.0	354
2366	[{4, 5}, {4, 5}]	{feats_n=s,feats_g=f} {feats_n=s,feats_g=f}	0.7912013726758741	586.0	487
2300	[{42}, {80, 81}, {15}]	{dep_mod} {pos_DET,dep_det} {dep_prep}	0.791189120652363	663.0	551
2305	[{153, 42, 5}]	{feats_g=f,dep_mod,pos_ADJ}	0.7911508314409201	450.0	374
2215	[{15}, {10, 42}]	{dep_prep} {pos_P,dep_mod}	0.7910186424966525	480.0	399
2066	[{19, 131, 15}]	{dep_prep,feats_g=m,feats_n=p}	0.7909941679099417	486.0	404
1139	[{4}, {42}, {3}]	{feats_n=s} {dep_mod} {pos_NC}	0.790946992257296	415.0	345
308	[{80, 81, 4}, {4}, {9, 10, 12}]	{feats_n=s,pos_DET,dep_det} {feats_n=s} {lemma_de,pos_P,wp_▁de}	0.7909130795105542	338.0	281
1441	[{3, 15}, {10}, {15}]	{pos_NC,dep_prep} {pos_P} {dep_prep}	0.7907945205479453	451.0	375
2559	[{80, 19, 4}]	{feats_n=s,feats_g=m,pos_DET}	0.7905882352941176	511.0	425
1975	[{4}, {3, 19, 15}]	{feats_n=s} {pos_NC,dep_prep,feats_g=m}	0.7904862261026644	547.0	455
2481	[{42}, {80, 81}, {3}]	{dep_mod} {pos_DET,dep_det} {pos_NC}	0.7904157319459691	690.0	574
1048	[{5}, {42}, {80, 81}]	{feats_g=f} {dep_mod} {pos_DET,dep_det}	0.7903921936573466	351.0	292
1041	[{4}, {131}, {3, 131}]	{feats_n=s} {feats_n=p} {pos_NC,feats_n=p}	0.7903921936573466	351.0	292
811	[{10}, {4, 5}, {3, 5, 15}]	{pos_P} {feats_n=s,feats_g=f} {pos_NC,feats_g=f,dep_prep}	0.7903694479036945	357.0	297
154	[{3, 5}, {9, 11}, {3, 15}]	{pos_NC,feats_g=f} {lemma_de,dep_dep} {pos_NC,dep_prep}	0.7902294107938604	399.0	332
1445	[{3}, {19, 4}]	{pos_NC} {feats_n=s,feats_g=m}	0.7901461954644872	429.0	357
974	[{5}, {9}, {3, 19, 15}]	{feats_g=f} {lemma_de} {pos_NC,dep_prep,feats_g=m}	0.7900224902882845	322.0	268
938	[{131, 5}, {42}]	{feats_g=f,feats_n=p} {dep_mod}	0.789975978705447	507.0	422
685	[{42}, {131}, {42}]	{dep_mod} {feats_n=p} {dep_mod}	0.7899387535649166	352.0	293
677	[{9, 12}, {3, 5}]	{lemma_de,wp_▁de} {pos_NC,feats_g=f}	0.7899387535649166	352.0	293
2683	[{3, 4}, {11}, {4}]	{pos_NC,feats_n=s} {dep_dep} {feats_n=s}	0.7898553797870986	388.0	323
1565	[{42}, {80, 81, 4}, {4}]	{dep_mod} {feats_n=s,pos_DET,dep_det} {feats_n=s}	0.789585637709521	580.0	483
600	[{80, 81, 4}, {4}, {153, 42}]	{feats_n=s,pos_DET,dep_det} {feats_n=s} {dep_mod,pos_ADJ}	0.7895124466048019	335.0	279
602	[{5}, {9}, {19, 15}]	{feats_g=f} {lemma_de} {dep_prep,feats_g=m}	0.7895124466048019	335.0	279
1703	[{10}, {81, 4, 5}, {4, 5, 15}]	{pos_P} {feats_n=s,feats_g=f,dep_det} {feats_n=s,feats_g=f,dep_prep}	0.7894961368915011	347.0	289
1154	[{10}, {4, 5}, {5, 15}]	{pos_P} {feats_n=s,feats_g=f} {feats_g=f,dep_prep}	0.789480918128923	359.0	299
1574	[{10}, {4, 5}, {4, 15}]	{pos_P} {feats_n=s,feats_g=f} {feats_n=s,dep_prep}	0.7894666843995212	371.0	309
1393	[{9, 11}, {131, 15}]	{lemma_de,dep_dep} {dep_prep,feats_n=p}	0.7890410958904109	372.0	310
1512	[{42}, {4}, {4}]	{dep_mod} {feats_n=s} {feats_n=s}	0.7888066808292432	673.0	561
1085	[{9}, {19, 15}]	{lemma_de} {dep_prep,feats_g=m}	0.7887648209968918	571.0	476
2900	[{4}, {5}, {9}, {15}]	{feats_n=s} {feats_g=f} {lemma_de} {dep_prep}	0.7885730999853751	337.0	281
1621	[{4}, {10, 42}, {4}, {15}]	{feats_n=s} {pos_P,dep_mod} {feats_n=s} {dep_prep}	0.7885646217986897	331.0	276
427	[{4}, {4}, {9, 10}]	{feats_n=s} {feats_n=s} {lemma_de,pos_P}	0.7884392338798157	524.0	437
1532	[{10}, {5}, {5}]	{pos_P} {feats_g=f} {feats_g=f}	0.7883043628410268	428.0	357
1846	[{15}, {10}, {3, 15}]	{dep_prep} {pos_P} {pos_NC,dep_prep}	0.7882606398113899	404.0	337
1363	[{80, 81}, {15}, {10}]	{pos_DET,dep_det} {dep_prep} {pos_P}	0.7882113996802212	380.0	317
2457	[{10, 42}, {80, 81}]	{pos_P,dep_mod} {pos_DET,dep_det}	0.7881084232002331	676.0	564
2274	[{80, 81}, {3, 51}]	{pos_DET,dep_det} {pos_NC,dep_suj}	0.7878695426671141	538.0	449
2105	[{19, 4}, {3, 19}, {42}]	{feats_n=s,feats_g=m} {pos_NC,feats_g=m} {dep_mod}	0.7878196700453794	387.0	323
885	[{3}, {9, 10, 11, 12}]	{pos_NC} {lemma_de,pos_P,dep_dep,wp_▁de}	0.7877390478773905	484.0	404
478	[{131}, {10}, {80, 81}]	{feats_n=p} {pos_P} {pos_DET,dep_det}	0.7877390478773905	363.0	303
2432	[{5}, {4, 5}]	{feats_g=f} {feats_n=s,feats_g=f}	0.787699189264747	587.0	490
1049	[{9, 10, 12}, {3, 5, 15}]	{lemma_de,pos_P,wp_▁de} {pos_NC,feats_g=f,dep_prep}	0.7876946093786527	351.0	293
1059	[{42}, {153}]	{dep_mod} {pos_ADJ}	0.7876946093786527	351.0	293
1859	[{80, 81, 4, 104}, {4}, {9}]	{feats_n=s,pos_DET,dep_det,lemma_le} {feats_n=s} {lemma_de}	0.7876712328767123	345.0	288
1860	[{10}, {80, 81, 4, 5}, {4, 5, 15}]	{pos_P} {feats_n=s,feats_g=f,pos_DET,dep_det} {feats_n=s,feats_g=f,dep_prep}	0.7876712328767123	345.0	288
1861	[{10}, {81, 4, 5}, {3, 4, 5, 15}]	{pos_P} {feats_n=s,feats_g=f,dep_det} {pos_NC,feats_n=s,feats_g=f,dep_prep}	0.7876712328767123	345.0	288
192	[{5}, {3, 5}, {42}]	{feats_g=f} {pos_NC,feats_g=f} {dep_mod}	0.7875959656781575	327.0	273
438	[{9, 10}, {5, 15}]	{lemma_de,pos_P} {feats_g=f,dep_prep}	0.7872146118721461	431.0	360
2646	[{3}, {9, 10}, {3, 15}]	{pos_NC} {lemma_de,pos_P} {pos_NC,dep_prep}	0.7872103740902011	516.0	431
