	motifs_int	motifs_str	Rapports70to80merged	Rapports18
{18} {5,24,27} {3}	[{18}, {24, 27, 5}, {3}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN}	4128	22726
{5} {5} {5}	[{5}, {5}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {feats_Number=Sing}	3405	19067
{18} {5,24} {3}	[{18}, {24, 5}, {3}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN}	4314	23413
{18} {5} {5,26}	[{18}, {5}, {26, 5}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	3344	18675
{18} {5,24,25,27} {3}	[{18}, {24, 25, 27, 5}, {3}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	3864	21686
{18} {23,24,25,27} {26}	[{18}, {24, 25, 27, 23}, {26}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem}	3185	19246
{17,18} {24} {5}	[{17, 18}, {24}, {5}]	{lemma_de,pos_ADP} {pos_DET} {feats_Number=Sing}	3228	19093
{18} {24,25,27} {4}	[{18}, {24, 25, 27}, {4}]	{pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc}	3228	20290
{18} {5,24,27} {3,5}	[{18}, {24, 27, 5}, {3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	4126	22717
{18} {5,23,24,25,27} {5}	[{18}, {5, 23, 24, 25, 27}, {5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	4213	23507
{18} {24,27} {26}	[{18}, {24, 27}, {26}]	{pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Fem}	3437	20582
{18} {5,23,24,25,27} {3,5}	[{18}, {5, 23, 24, 25, 27}, {3, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	3861	21676
{18} {5,24,25,27} {3,5}	[{18}, {24, 25, 27, 5}, {3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	3862	21677
{24} {3} {18}	[{24}, {3}, {18}]	{pos_DET} {pos_NOUN} {pos_ADP}	3668	19896
{18} {24} {5}	[{18}, {24}, {5}]	{pos_ADP} {pos_DET} {feats_Number=Sing}	4675	25090
{18} {5} {5}	[{18}, {5}, {5}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	4940	26166
{17,18} {5,24} {5}	[{17, 18}, {24, 5}, {5}]	{lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	3218	19083
{17,18,728,730} {24} {3}	[{728, 17, 18, 730}, {24}, {3}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {pos_NOUN}	3218	20424
{18} {24} {4}	[{18}, {24}, {4}]	{pos_ADP} {pos_DET} {feats_Gender=Masc}	3703	22358
{18} {24} {3,4}	[{18}, {24}, {3, 4}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc}	3393	20898
{18} {5} {4}	[{18}, {5}, {4}]	{pos_ADP} {feats_Number=Sing} {feats_Gender=Masc}	3296	19191
{18} {24,25,27} {5}	[{18}, {24, 25, 27}, {5}]	{pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	4222	23516
{17,18} {24,27} {3}	[{17, 18}, {24, 27}, {3}]	{lemma_de,pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN}	3349	20388
{17,18,730} {24} {3}	[{17, 18, 730}, {24}, {3}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET} {pos_NOUN}	3222	20447
{18} {5,24,27} {5}	[{18}, {24, 27, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	4494	24485
{18} {5} {4,5}	[{18}, {5}, {4, 5}]	{pos_ADP} {feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	3275	18995
{18} {24} {26}	[{18}, {24}, {26}]	{pos_ADP} {pos_DET} {feats_Gender=Fem}	3613	21368
{5} {3,5} {18}	[{5}, {3, 5}, {18}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP}	3215	16666
{18} {5,24} {5}	[{18}, {24, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	4668	25083
{17,18} {5} {5}	[{17, 18}, {5}, {5}]	{lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	3535	20400
{18} {5,24,25,27} {5}	[{18}, {24, 25, 27, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	4214	23508
{18} {5,24} {3,5}	[{18}, {24, 5}, {3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	4313	23405
{17,18,728,730} {5} {3}	[{728, 17, 18, 730}, {5}, {3}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {pos_NOUN}	0	15718
{17} {24,25,27} {3,26}	[{17}, {24, 25, 27}, {26, 3}]	{lemma_de} {pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	0	13112
{17,18,728,730} {23,24,25,27} {3,5}	[{728, 17, 18, 730}, {24, 25, 27, 23}, {3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	0	14855
{5,24} {3,5} {5}	[{24, 5}, {3, 5}, {5}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {feats_Number=Sing}	0	14354
{17} {24} {3,26}	[{17}, {24}, {26, 3}]	{lemma_de} {pos_DET} {pos_NOUN,feats_Gender=Fem}	0	14496
{17,18} {5,24,27} {5}	[{17, 18}, {24, 27, 5}, {5}]	{lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	0	18524
{24} {3} {730}	[{24}, {3}, {730}]	{pos_DET} {pos_NOUN} {wp_▁de}	0	14652
{17} {24,25,27} {26}	[{17}, {24, 25, 27}, {26}]	{lemma_de} {pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem}	0	13668
{17,18} {24,27} {26}	[{17, 18}, {24, 27}, {26}]	{lemma_de,pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Fem}	0	14440
{17,18} {24,27} {3,4}	[{17, 18}, {24, 27}, {3, 4}]	{lemma_de,pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc}	0	13615
{24} {5} {105}	[{24}, {5}, {105}]	{pos_DET} {feats_Number=Sing} {pos_PUNCT}	0	12856
{18} {5,24} {3,5,26}	[{18}, {24, 5}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	16701
{17,18,728,730} {24} {4}	[{728, 17, 18, 730}, {24}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {feats_Gender=Masc}	0	15383
{17,18,730} {23,24,25,27} {3,26}	[{17, 18, 730}, {24, 25, 27, 23}, {26, 3}]	{lemma_de,pos_ADP,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	0	13049
{24,27} {4} {18}	[{24, 27}, {4}, {18}]	{pos_DET,feats_PronType=Art} {feats_Gender=Masc} {pos_ADP}	0	13049
{18} {5,24,26,27} {5}	[{18}, {24, 26, 27, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Fem,feats_PronType=Art} {feats_Number=Sing}	0	12271
{17,18} {5} {4}	[{17, 18}, {5}, {4}]	{lemma_de,pos_ADP} {feats_Number=Sing} {feats_Gender=Masc}	0	12986
{18} {23,24,25,27,92,881} {3,92}	[{18}, {881, 23, 24, 25, 27, 92}, {3, 92}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,wp_▁les} {pos_NOUN,feats_Number=Plur}	0	13764
{23,24} {3} {11}	[{24, 23}, {3}, {11}]	{lemma_le,pos_DET} {pos_NOUN} {pos_ADJ}	0	12995
{17,18} {5} {3}	[{17, 18}, {5}, {3}]	{lemma_de,pos_ADP} {feats_Number=Sing} {pos_NOUN}	0	16996
{17,18} {24,27} {5}	[{17, 18}, {24, 27}, {5}]	{lemma_de,pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	0	18535
{17} {23,24,25,27} {26}	[{17}, {24, 25, 27, 23}, {26}]	{lemma_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem}	0	13666
{17,18} {24,25,27} {26}	[{17, 18}, {24, 25, 27}, {26}]	{lemma_de,pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem}	0	13666
{23,24,25,27} {5} {5}	[{24, 25, 27, 23}, {5}, {5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {feats_Number=Sing}	0	13337
{5} {18} {24,25,27} {3}	[{5}, {18}, {24, 25, 27}, {3}]	{feats_Number=Sing} {pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	0	13110
{17} {23,24,25,27} {3,26}	[{17}, {24, 25, 27, 23}, {26, 3}]	{lemma_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	0	13110
{17,18} {24,25,27} {3,26}	[{17, 18}, {24, 25, 27}, {26, 3}]	{lemma_de,pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	0	13110
{18} {24,25,27} {3,4,5}	[{18}, {24, 25, 27}, {3, 4, 5}]	{pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	0	14648
{18} {24} {3} {18}	[{18}, {24}, {3}, {18}]	{pos_ADP} {pos_DET} {pos_NOUN} {pos_ADP}	0	14666
{17,18,728,730} {24,27} {3,5}	[{728, 17, 18, 730}, {24, 27}, {3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	0	14856
{17,18,728,730} {23,24,25,27} {3,26}	[{728, 17, 18, 730}, {24, 25, 27, 23}, {26, 3}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	0	13028
{5} {18} {5} {5}	[{5}, {18}, {5}, {5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	0	16529
{17,18,730} {24,27} {5}	[{17, 18, 730}, {24, 27}, {5}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	0	17336
{18} {4,5,44} {3}	[{18}, {4, 5, 44}, {3}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,wp_▁le} {pos_NOUN}	0	12722
{18} {5,24,25,27} {3,5,26}	[{18}, {24, 25, 27, 5}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	15029
{17,18} {5,23,24,25,27} {3}	[{17, 18}, {5, 23, 24, 25, 27}, {3}]	{lemma_de,pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	0	14975
{17,18,728,730} {5,23,24,25,27} {5}	[{728, 17, 18, 730}, {5, 23, 24, 25, 27}, {5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	17282
{18} {5,24,27} {3,4}	[{18}, {24, 27, 5}, {3, 4}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc}	0	15744
{17,18,728,730} {92} {92}	[{728, 17, 18, 730}, {92}, {92}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Plur} {feats_Number=Plur}	0	13617
{3} {18} {3}	[{3}, {18}, {3}]	{pos_NOUN} {pos_ADP} {pos_NOUN}	0	16729
{3} {17,18} {3}	[{3}, {17, 18}, {3}]	{pos_NOUN} {lemma_de,pos_ADP} {pos_NOUN}	0	14784
{24} {26} {26}	[{24}, {26}, {26}]	{pos_DET} {feats_Gender=Fem} {feats_Gender=Fem}	0	13679
{3} {18} {5,24} {5}	[{3}, {18}, {24, 5}, {5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	0	14846
{17,18} {5,24} {3}	[{17, 18}, {24, 5}, {3}]	{lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN}	0	16764
{3} {18} {24,27}	[{3}, {18}, {24, 27}]	{pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art}	0	15823
{18} {24,27} {3,92}	[{18}, {24, 27}, {3, 92}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Plur}	0	15054
{17,18} {5,24} {3,5}	[{17, 18}, {24, 5}, {3, 5}]	{lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	0	16758
{17,18,730,878} {23,24,25,27} {4}	[{17, 18, 878, 730}, {24, 25, 27, 23}, {4}]	{lemma_de,pos_ADP,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc}	0	13682
{17,18,728,730} {23,24,25,27} {4}	[{728, 17, 18, 730}, {24, 25, 27, 23}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc}	0	14541
{18} {23,24,25,27,92} {3}	[{18}, {23, 24, 25, 27, 92}, {3}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur} {pos_NOUN}	0	13772
{24,27} {5} {17}	[{24, 27}, {5}, {17}]	{pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de}	0	12630
{18} {24} {3,4,5}	[{18}, {24}, {3, 4, 5}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	0	16475
{17,18,730} {23} {26}	[{17, 18, 730}, {23}, {26}]	{lemma_de,pos_ADP,wp_▁de} {lemma_le} {feats_Gender=Fem}	0	13603
{17,18,730} {24,27} {26}	[{17, 18, 730}, {24, 27}, {26}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET,feats_PronType=Art} {feats_Gender=Fem}	0	13603
{5} {18} {24}	[{5}, {18}, {24}]	{feats_Number=Sing} {pos_ADP} {pos_DET}	0	17493
{24} {92} {92}	[{24}, {92}, {92}]	{pos_DET} {feats_Number=Plur} {feats_Number=Plur}	0	13217
{17,18,728,730} {24} {3,5}	[{728, 17, 18, 730}, {24}, {3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {pos_NOUN,feats_Number=Sing}	0	15532
{24} {3,5} {17,18}	[{24}, {3, 5}, {17, 18}]	{pos_DET} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP}	0	12830
{17,18,730} {23,24,25,27} {3}	[{17, 18, 730}, {24, 25, 27, 23}, {3}]	{lemma_de,pos_ADP,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	0	19504
{26} {17,18} {5}	[{26}, {17, 18}, {5}]	{feats_Gender=Fem} {lemma_de,pos_ADP} {feats_Number=Sing}	0	12583
{730} {24} {5}	[{730}, {24}, {5}]	{wp_▁de} {pos_DET} {feats_Number=Sing}	0	17948
{17,18,730} {23,24,25,27} {3,4}	[{17, 18, 730}, {24, 25, 27, 23}, {3, 4}]	{lemma_de,pos_ADP,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc}	0	12796
{5} {4} {5}	[{5}, {4}, {5}]	{feats_Number=Sing} {feats_Gender=Masc} {feats_Number=Sing}	0	12407
{17,18,730} {24} {4}	[{17, 18, 730}, {24}, {4}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET} {feats_Gender=Masc}	0	15415
{17,18} {23,24,25,27} {3,26}	[{17, 18}, {24, 25, 27, 23}, {26, 3}]	{lemma_de,pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	0	13108
{18} {5,23,24,25,27} {3,4,5}	[{18}, {5, 23, 24, 25, 27}, {3, 4, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	0	14646
{24} {3} {18} {5}	[{24}, {3}, {18}, {5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	0	16187
{17,18} {5} {3,5}	[{17, 18}, {5}, {3, 5}]	{lemma_de,pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	0	16965
{17,18} {24} {4}	[{17, 18}, {24}, {4}]	{lemma_de,pos_ADP} {pos_DET} {feats_Gender=Masc}	0	16196
{17,18,730} {24} {5}	[{17, 18, 730}, {24}, {5}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET} {feats_Number=Sing}	0	17946
{18} {4,5,24,25,27} {4,5}	[{18}, {4, 5, 24, 25, 27}, {4, 5}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc,feats_Number=Sing}	0	14870
{17} {23} {26}	[{17}, {23}, {26}]	{lemma_de} {lemma_le} {feats_Gender=Fem}	0	13667
{24} {3} {17,18} {5}	[{24}, {3}, {17, 18}, {5}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing}	0	13667
{4} {18} {24} {3}	[{4}, {18}, {24}, {3}]	{feats_Gender=Masc} {pos_ADP} {pos_DET} {pos_NOUN}	0	12735
{3,5} {18} {24} {3}	[{3, 5}, {18}, {24}, {3}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_DET} {pos_NOUN}	0	12346
{17,18,730} {23,24,25,27} {5}	[{17, 18, 730}, {24, 25, 27, 23}, {5}]	{lemma_de,pos_ADP,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	17335
{18} {4,5,23,24,25,27,44} {3}	[{18}, {4, 5, 44, 23, 24, 25, 27}, {3}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁le} {pos_NOUN}	0	12721
{18} {24,27} {3,5}	[{18}, {24, 27}, {3, 5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	4126	22718
{18} {4,5,24} {4}	[{18}, {24, 4, 5}, {4}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Gender=Masc}	0	16566
{17,18,730} {24} {3,4}	[{17, 18, 730}, {24}, {3, 4}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET} {pos_NOUN,feats_Gender=Masc}	0	13680
{17,18,730} {5} {3,5}	[{17, 18, 730}, {5}, {3, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	0	15717
{24,27} {5} {17,18}	[{24, 27}, {5}, {17, 18}]	{pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP}	0	12629
{17,18,728,730} {23} {26}	[{728, 17, 18, 730}, {23}, {26}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {lemma_le} {feats_Gender=Fem}	0	13583
{17,18,728,730} {24,27} {26}	[{728, 17, 18, 730}, {24, 27}, {26}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET,feats_PronType=Art} {feats_Gender=Fem}	0	13583
{3,5} {18} {24,27}	[{3, 5}, {18}, {24, 27}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art}	0	12416
{17,18,730} {24,27} {3,26}	[{17, 18, 730}, {24, 27}, {26, 3}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	0	13050
{17,18,730} {5,24,27} {5}	[{17, 18, 730}, {24, 27, 5}, {5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	0	17325
{17,18} {5} {5,26}	[{17, 18}, {5}, {26, 5}]	{lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	0	12711
{24,27} {3,4} {18}	[{24, 27}, {3, 4}, {18}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc} {pos_ADP}	0	12711
{24} {3,4} {18}	[{24}, {3, 4}, {18}]	{pos_DET} {pos_NOUN,feats_Gender=Masc} {pos_ADP}	0	13435
{24,27} {3} {17,18}	[{24, 27}, {3}, {17, 18}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP}	0	16360
{18} {5,24,27} {5,26}	[{18}, {24, 27, 5}, {26, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	0	16776
{17,18,730} {5,24,27} {3}	[{17, 18, 730}, {24, 27, 5}, {3}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN}	0	14900
{18} {5,24,25,27} {5,26}	[{18}, {24, 25, 27, 5}, {26, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	0	15669
{24,27} {3} {105}	[{24, 27}, {3}, {105}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_PUNCT}	0	12198
{3,4} {18} {5}	[{3, 4}, {18}, {5}]	{pos_NOUN,feats_Gender=Masc} {pos_ADP} {feats_Number=Sing}	0	14921
{17,18,728,730} {24} {5}	[{728, 17, 18, 730}, {24}, {5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {feats_Number=Sing}	0	17907
{17,18,730} {5,24,27} {3,5}	[{17, 18, 730}, {24, 27, 5}, {3, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	0	14894
{5,24} {3} {18}	[{24, 5}, {3}, {18}]	{feats_Number=Sing,pos_DET} {pos_NOUN} {pos_ADP}	0	15672
{18} {24,25,27} {5,26}	[{18}, {24, 25, 27}, {26, 5}]	{pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	0	15672
{24,25,27} {3} {730}	[{24, 25, 27}, {3}, {730}]	{pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {wp_▁de}	0	12596
{18} {24,27} {3} {18}	[{18}, {24, 27}, {3}, {18}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP}	0	14134
{5,24} {5} {17,18}	[{24, 5}, {5}, {17, 18}]	{feats_Number=Sing,pos_DET} {feats_Number=Sing} {lemma_de,pos_ADP}	0	12949
