	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO
{17,18,728,730} {4} {4}	[{728, 17, 18, 730}, {4}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc} {feats_Gender=Masc}	-147.60057278806	inf	11.0103539263975	inf	-43.5917680142043	10.3626352151443	-35.4142300454674	-inf	-150.282887897575	10.4271957668768	inf	inf	inf	-50.3846721341613	inf	inf	-50.2594296648042	-44.215867959347	-25.7875451903975	-112.811995952589	10.395577779421	-132.457397574829	-161.271472429785	10.837577139104	inf	-27.065538456015	-9.78259097203471	inf	-59.9693040493842	inf	inf	-63.2870450592325	11.172733909268	-30.6567642682035	-35.2899707552189	11.6247039651366	inf	inf
{18} {5,26} {3,5,26}	[{18}, {26, 5}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,feats_Gender=Fem} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	-222.896310662092	inf	10.4275388848694	11.2193902217687	-65.783348202554	10.3218298933468	-53.4399406012158	-inf	-226.951134748352	10.5130045964402	inf	11.5017457428948	inf	-76.037768361926	11.5416422796036	inf	inf	inf	inf	-170.320635652231	10.3324068434083	-200.007421569628	-243.564054798347	10.4144155177059	inf	inf	-14.7594244308244	inf	-90.508099317793	inf	inf	inf	11.35184630315	10.5834683174387	-53.2523904033938	11.2460074207122	inf	inf
{24} {3,26} {26}	[{24}, {26, 3}, {26}]	{pos_DET} {pos_NOUN,feats_Gender=Fem} {feats_Gender=Fem}	-202.781984742234	inf	10.5637023321712	inf	-59.8583158971132	10.3420347728056	-48.627370955987	-inf	-206.469870713919	10.5263804394761	inf	inf	inf	-69.1882952118666	inf	inf	-69.0162704864294	inf	inf	-154.960705190151	10.6176759657463	-181.963700932818	-221.579021946081	10.526557079777	inf	11.1085806680455	-13.4308614282433	inf	-82.3537305266074	inf	inf	inf	11.1444110381248	10.6539073491609	-48.4567213861136	11.1013114576881	inf	inf
{26} {18} {5,24,27}	[{26}, {18}, {24, 27, 5}]	{feats_Gender=Fem} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	-200.286354609618	inf	10.4293855350436	-20.3141054021855	-59.1230204792826	-18.8140413157578	-48.0301217780996	-inf	-203.928728623631	10.5322347031992	inf	inf	inf	-68.3382889194343	inf	inf	inf	inf	inf	-153.054820074509	10.5325484790314	-179.724901742623	-218.851370599899	10.3995449235364	inf	12.0019426004321	-13.2659754589076	inf	-81.3418095601053	inf	inf	inf	inf	10.6368188472408	-47.8615694549746	11.0808275405093	inf	inf
{5} {18} {24,27} {3}	[{5}, {18}, {24, 27}, {3}]	{feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN}	-inf	inf	10.9457214405246	8.56313627315752	-115.853915698183	7.28309249181129	7.87855656544697	inf	-inf	10.498383210116	inf	inf	inf	inf	inf	inf	inf	inf	inf	-300.289790243045	10.6382251720363	-inf	-inf	10.9194002612826	inf	inf	2.43426408039206	inf	-159.438814077935	inf	inf	inf	inf	10.7867173660742	8.02896630525947	10.9850387443077	inf	7.98044456381355
{18} {5,24,27} {3,4,5}	[{18}, {24, 27, 5}, {3, 4, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-inf	inf	inf	3.8159120262249	-141.977919097714	7.13042321412317	5.61607536727825	5.30704328039443	-inf	inf	inf	inf	inf	3.17997313962789	inf	inf	inf	inf	7.46726008981799	0.562668064977499	9.07773694958698	1.53582288822729	-inf	inf	inf	inf	-31.8287762789115	inf	-195.418634421192	inf	5.37900173680545	inf	inf	inf	5.75425013910953	inf	inf	9.35592267747938
{5} {18} {24} {3}	[{5}, {18}, {24}, {3}]	{feats_Number=Sing} {pos_ADP} {pos_DET} {pos_NOUN}	-inf	inf	inf	9.82360569050246	-148.229110325847	5.436942717328	3.55716176241544	3.5488666759698	-inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	9.05048851249307	-0.31712883760948	inf	-0.727066270260289	-inf	inf	inf	inf	1.39265819173713	inf	-204.029907995596	inf	inf	inf	inf	inf	3.66540848872824	inf	inf	10.0197515911767
{3,5} {18} {5,24,27} {5}	[{3, 5}, {18}, {24, 27, 5}, {5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	-178.948450257683	inf	inf	-18.154466350454	-52.8347090702142	inf	-42.9223031496296	-inf	-182.201824985698	inf	inf	inf	inf	-61.0690677323364	-68.0638231180441	inf	inf	inf	-31.2538789250557	-136.758016932278	inf	-160.582271286038	-195.530388385846	inf	inf	inf	-11.8557529142691	inf	-72.6880819317026	inf	inf	inf	inf	inf	-42.771685612033	inf	inf	inf
{3,5} {18} {23,24,25,27}	[{3, 5}, {18}, {24, 25, 27, 23}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	-154.024791993866	inf	inf	-15.6304849336987	-45.4864018483687	inf	-36.953275708957	-inf	-156.824095308332	inf	inf	inf	inf	-52.5747445549092	-58.5958402318918	inf	inf	inf	-26.9080879450449	-117.719723781387	inf	-138.221318902217	-168.292036008083	inf	inf	inf	-10.2075830736764	inf	-62.5763253055886	inf	-31.6440946134597	-66.0384191718412	inf	inf	-36.82361378541	inf	inf	inf
{5} {17,18,730} {5}	[{5}, {17, 18, 730}, {5}]	{feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	-260.353149771304	inf	10.2206794349893	10.5993298646636	-76.8106081670483	10.1057167930793	10.0825040395907	-inf	-265.0918619685	10.1831757477991	11.8337198300118	10.4260188442579	inf	inf	10.5530203699426	10.59513375007	10.8187259563911	inf	10.5187963508289	-198.91828876504	10.3219401757121	-233.60552731537	-284.50768370355	10.2023315281079	inf	10.3652881862722	-17.2316075773732	inf	-105.685788136766	inf	11.4457235192525	10.7847478800207	10.3111963197179	10.1768621634871	10.1749968860452	10.4425033405068	inf	8.9282360620615
