	motifs_int	motifs_str	ISP	MODYCO
{3,5} {873,874,875,877} {17,18,728,730,878} {23,24,25,27,92,880,881}	[{3, 5}, {873, 874, 875, 877}, {878, 17, 18, 728, 730}, {880, 881, 23, 24, 25, 27, 92}]	{pos_NOUN,feats_Number=Sing} {lemma_des,pos_des,feats_des,wp_▁des} {lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les}	inf	
{5} {4,5} {18} {24}	[{5}, {4, 5}, {18}, {24}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {pos_ADP} {pos_DET}	inf	
{5} {18} {5} {3,5,26}	[{5}, {18}, {5}, {26, 3, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	1.0131563791878544	-0.9396672866528729
{5} {26} {18} {5}	[{5}, {26}, {18}, {5}]	{feats_Number=Sing} {feats_Gender=Fem} {pos_ADP} {feats_Number=Sing}	0.9834789883611356	-0.911388367084339
{5,24} {5} {18} {24,27}	[{24, 5}, {5}, {18}, {24, 27}]	{feats_Number=Sing,pos_DET} {feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art}	inf	
{18} {24,27} {3,26} {18}	[{18}, {24, 27}, {26, 3}, {18}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem} {pos_ADP}	inf	
{24} {3} {17,18,728,730} {26}	[{24}, {3}, {728, 17, 18, 730}, {26}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Fem}	inf	
{92} {3,92} {18} {3}	[{92}, {3, 92}, {18}, {3}]	{feats_Number=Plur} {pos_NOUN,feats_Number=Plur} {pos_ADP} {pos_NOUN}	inf	
{5} {5} {17,18} {5}	[{5}, {5}, {17, 18}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing}	6.5999912396273235	-6.39426450817889
{24} {3} {18} {26}	[{24}, {3}, {18}, {26}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Gender=Fem}	2.380526441832702	-2.266723675222881
