	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO	AVERAGE	VAR	ST.DEV
{17} {23,24,25,27} {3}	[{17}, {24, 25, 27, 23}, {3}]	{lemma_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	-10.62	16.00	16.00	5.28	-16.00	2.57	0.48	-8.18	-16.00	16.00	16.00	16.00	16.00	-0.77	16.00	9.90	16.00	0.72	3.18	-8.74	6.05	-1.38	-16.00	16.00	16.00	16.00	-3.14	16.00	-16.00	16.00	6.16	1.26	16.00	8.37	0.52	16.00	16.00	3.41	5.45	123.29	11.10
{5,24,27} {3} {17,18,730} {5}	[{24, 27, 5}, {3}, {17, 18, 730}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	-16.00	-6.34	-10.09	-4.10	-11.94	-3.80	-9.70	-16.00	-16.00	-6.35	16.00	-10.65	-14.18	-13.80	-15.37	-6.62	-13.76	-12.11	-7.06	-16.00	10.73	-16.00	-16.00	-10.05	-8.59	-7.41	-2.68	16.00	-16.00	16.00	-8.30	-17.33	11.01	10.69	-9.66	16.00	16.00	-3.59	-5.61	123.28	11.10
{17,18,730} {5,24} {3,5}	[{17, 18, 730}, {24, 5}, {3, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	-16.00	16.00	16.00	3.87	-16.00	8.13	3.40	2.42	-16.00	16.00	16.00	16.00	16.00	2.35	16.00	16.00	16.00	5.54	2.57	-0.96	16.00	-1.40	-4.45	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	7.99	4.69	16.00	16.00	3.27	16.00	16.00	6.63	7.05	123.18	11.10
{17,18,730} {5,24} {3}	[{17, 18, 730}, {24, 5}, {3}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,pos_DET} {pos_NOUN}	-16.00	16.00	16.00	3.87	-16.00	8.12	3.50	2.39	-16.00	16.00	16.00	16.00	16.00	2.34	16.00	16.00	16.00	5.53	2.56	-0.97	16.00	-1.41	-4.48	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	7.98	4.67	16.00	16.00	3.38	16.00	16.00	6.62	7.06	123.18	11.10
{24,27} {3} {17,18}	[{24, 27}, {3}, {17, 18}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP}	-16.00	16.00	16.00	6.98	-16.00	4.42	2.07	5.27	-16.00	16.00	16.00	16.00	16.00	10.02	16.00	16.00	16.00	5.69	16.00	0.79	16.00	-0.43	-16.00	16.00	16.00	16.00	0.85	16.00	-16.00	16.00	16.00	8.90	16.00	16.00	2.15	16.00	16.00	16.00	8.39	123.18	11.10
{17,18,728,730} {24} {3,5}	[{728, 17, 18, 730}, {24}, {3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {pos_NOUN,feats_Number=Sing}	-16.00	16.00	16.00	3.73	-16.00	8.20	3.46	2.49	-16.00	16.00	16.00	16.00	16.00	2.34	16.00	16.00	16.00	5.64	2.50	-1.04	16.00	-1.36	-4.36	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	7.70	4.48	16.00	16.00	3.34	16.00	16.00	6.69	7.05	123.15	11.10
{730} {5,24} {3,5}	[{730}, {24, 5}, {3, 5}]	{wp_▁de} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	-16.00	16.00	16.00	3.87	-16.00	8.12	3.51	2.41	-16.00	16.00	16.00	16.00	16.00	2.35	16.00	16.00	16.00	5.54	2.56	-0.97	16.00	-1.40	-4.46	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	7.99	4.68	16.00	16.00	3.38	16.00	16.00	6.62	7.06	123.15	11.10
{730} {5,24} {3}	[{730}, {24, 5}, {3}]	{wp_▁de} {feats_Number=Sing,pos_DET} {pos_NOUN}	-16.00	16.00	16.00	3.86	-16.00	8.11	3.62	2.38	-16.00	16.00	16.00	16.00	16.00	2.34	16.00	16.00	16.00	5.52	2.55	-0.98	16.00	-1.41	-4.49	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	7.97	4.67	16.00	16.00	3.49	16.00	16.00	6.61	7.06	123.15	11.10
{17,18,728,730} {5,24} {3}	[{728, 17, 18, 730}, {24, 5}, {3}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET} {pos_NOUN}	-16.00	16.00	16.00	3.73	-16.00	8.19	3.57	2.46	-16.00	16.00	16.00	16.00	16.00	2.33	16.00	16.00	16.00	5.63	2.49	-1.05	16.00	-1.37	-4.38	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	7.69	4.47	16.00	16.00	3.45	16.00	16.00	6.68	7.05	123.14	11.10
{5,24,27} {5} {17,18,728,730} {5}	[{24, 27, 5}, {5}, {728, 17, 18, 730}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	-16.00	-6.38	-10.15	-4.13	-12.00	-3.82	-9.75	-16.00	-16.00	-6.39	16.00	-10.71	-14.27	-13.87	-15.46	-6.66	-13.84	-12.18	-7.10	-16.00	10.49	-16.00	-16.00	-10.11	-8.64	-7.45	-2.69	16.00	-16.00	16.00	-8.35	-17.43	10.78	10.55	-9.72	16.00	16.00	-3.61	-5.66	123.09	11.09
{5} {17,18} {5}	[{5}, {17, 18}, {5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing}	-16.00	16.00	16.00	3.64	-16.00	16.00	2.74	16.00	-16.00	16.00	16.00	16.00	16.00	6.22	16.00	16.00	16.00	8.71	9.33	1.81	16.00	0.93	-16.00	16.00	16.00	16.00	1.89	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	2.83	16.00	16.00	4.60	8.70	122.95	11.09
{5} {5} {17,18,728,730} {5} {5}	[{5}, {5}, {728, 17, 18, 730}, {5}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {feats_Number=Sing}	-16.00	-6.31	-10.05	-4.08	-11.88	-3.78	-9.65	-16.00	-16.00	-6.32	16.00	-10.60	-14.11	-13.73	-15.30	16.00	-13.69	-12.05	-7.03	-16.00	10.50	-16.00	-16.00	-10.00	-8.55	-7.38	-2.67	16.00	-16.00	16.00	-8.26	-17.24	-4.84	10.38	-9.62	11.37	16.00	-3.57	-5.54	122.83	11.08
{17,18} {24} {3,4}	[{17, 18}, {24}, {3, 4}]	{lemma_de,pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc}	-16.00	16.00	10.77	8.11	-16.00	6.76	5.76	6.42	-16.00	10.63	16.00	16.00	16.00	2.96	16.00	16.00	8.93	16.00	8.03	1.66	3.98	2.03	-16.00	10.71	16.00	16.00	-16.00	16.00	-16.00	16.00	8.81	6.65	16.00	11.37	5.89	16.00	16.00	16.00	6.93	122.72	11.08
{24} {3} {18}	[{24}, {3}, {18}]	{pos_DET} {pos_NOUN} {pos_ADP}	-16.00	16.00	10.80	7.85	-16.00	2.96	0.50	-7.44	-16.00	10.81	16.00	16.00	16.00	4.79	16.00	16.00	16.00	2.15	10.46	-3.46	9.76	-6.53	-16.00	10.72	16.00	16.00	-0.54	16.00	-16.00	16.00	16.00	5.13	11.02	11.43	0.54	16.00	16.00	7.83	6.13	122.69	11.08
{18} {24,27} {3,5,26}	[{18}, {24, 27}, {26, 3, 5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	-16.00	16.00	16.00	6.84	-16.00	4.89	2.31	16.00	-16.00	16.00	16.00	16.00	16.00	7.43	16.00	16.00	16.00	5.65	6.92	-0.35	16.00	0.44	-16.00	16.00	16.00	16.00	1.31	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	2.40	16.00	16.00	9.81	8.41	122.65	11.07
{18} {5,24,27} {3,5,26}	[{18}, {24, 27, 5}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	-16.00	16.00	16.00	6.85	-16.00	4.89	2.32	16.00	-16.00	16.00	16.00	16.00	16.00	7.44	16.00	16.00	16.00	5.66	6.93	-0.34	16.00	0.44	-16.00	16.00	16.00	16.00	1.32	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	2.40	16.00	16.00	9.87	8.41	122.65	11.07
