	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO	AVERAGE	VAR	ST.DEV
{24,27} {5} {5,26}	[{24, 27}, {5}, {26, 5}]	{pos_DET,feats_PronType=Art} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	-16.00	16.00	-18.47	-7.51	-16.00	-6.95	-17.75	-16.00	-16.00	10.62	16.00	-19.49	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-12.92	-16.00	10.69	-16.00	-16.00	-18.39	16.00	-13.56	-4.90	16.00	-16.00	16.00	-15.20	-16.00	16.00	12.64	-17.68	-6.81	16.00	16.00	-4.57	214.18	14.63
{24,27} {4} {18}	[{24, 27}, {4}, {18}]	{pos_DET,feats_PronType=Art} {feats_Gender=Masc} {pos_ADP}	-16.00	16.00	16.00	16.00	-16.00	9.14	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	6.56	214.11	14.63
{4,5,24} {5} {5}	[{24, 4, 5}, {5}, {5}]	{feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Number=Sing} {feats_Number=Sing}	-16.00	16.00	-16.00	-14.28	-16.00	10.25	-16.00	-16.00	-16.00	10.23	11.51	10.76	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	10.21	-16.00	-16.00	10.23	16.00	10.62	-9.32	16.00	-16.00	16.00	16.00	11.26	10.48	10.37	-16.00	10.73	16.00	16.00	-0.50	214.07	14.63
{17,18} {4,5,24,27} {4,5}	[{17, 18}, {24, 27, 4, 5}, {4, 5}]	{lemma_de,pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	10.30	-14.70	-16.00	10.27	-16.00	-16.00	-16.00	10.32	16.00	10.58	16.00	-16.00	10.85	11.20	-16.00	-16.00	-16.00	-16.00	10.25	-16.00	-16.00	10.26	16.00	10.54	-9.60	16.00	-16.00	16.00	16.00	-16.00	10.47	-16.00	-16.00	10.88	16.00	16.00	-0.54	214.05	14.63
{18,692} {5,23,24,25,27} {5}	[{18, 692}, {5, 23, 24, 25, 27}, {5}]	{pos_ADP,lemma_à} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	-16.00	16.00	-16.00	-9.06	-16.00	-8.39	-16.00	-16.00	-16.00	10.55	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-15.60	-16.00	10.60	-16.00	-16.00	10.36	16.00	-16.00	-5.92	16.00	-16.00	16.00	-18.35	-16.00	10.97	-18.55	-16.00	16.00	16.00	-7.92	-4.03	214.03	14.63
{5,26} {18} {5} {5}	[{26, 5}, {18}, {5}, {5}]	{feats_Number=Sing,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	-16.00	16.00	10.48	-16.00	-16.00	10.33	-16.00	-16.00	-16.00	10.46	16.00	16.00	16.00	-16.00	11.85	16.00	16.00	-16.00	11.26	-16.00	10.49	-16.00	-16.00	10.42	16.00	11.47	-10.53	16.00	-16.00	16.00	16.00	-16.00	11.38	10.52	-16.00	11.16	16.00	16.00	2.03	214.00	14.63
{24,27} {5} {17,18}	[{24, 27}, {5}, {17, 18}]	{pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP}	-16.00	16.00	16.00	8.07	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	6.53	213.99	14.63
{17,18} {92} {3,92}	[{17, 18}, {92}, {3, 92}]	{lemma_de,pos_ADP} {feats_Number=Plur} {pos_NOUN,feats_Number=Plur}	-16.00	16.00	10.87	16.00	-16.00	-16.00	-16.00	-16.00	-16.00	10.49	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	10.92	10.49	-16.00	10.76	16.00	16.00	-15.06	7.63	-16.00	16.00	16.00	16.00	16.00	10.71	-16.00	16.00	16.00	8.73	3.83	213.94	14.63
{5} {5,26} {5,26}	[{5}, {26, 5}, {26, 5}]	{feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing,feats_Gender=Fem}	-16.00	16.00	10.26	-14.28	-16.00	10.25	-16.00	-16.00	-16.00	10.23	11.51	10.76	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	10.21	-16.00	-16.00	10.23	16.00	-16.00	-9.32	16.00	-16.00	16.00	16.00	11.26	10.48	10.37	-16.00	10.73	16.00	16.00	-0.51	213.86	14.62
{5} {5} {18,730} {5}	[{5}, {5}, {730, 18}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP,wp_▁de} {feats_Number=Sing}	-16.00	16.00	-16.00	-13.61	-16.00	10.17	-16.00	-16.00	-16.00	10.36	16.00	11.13	16.00	-16.00	-16.00	11.78	16.00	-16.00	-16.00	-16.00	10.31	-16.00	-16.00	10.45	16.00	10.98	-8.89	16.00	-16.00	16.00	16.00	-16.00	10.58	10.39	-16.00	10.87	16.00	-11.90	-1.04	213.85	14.62
{4,5} {4} {4,5}	[{4, 5}, {4}, {4, 5}]	{feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	-17.86	-7.26	-16.00	16.00	-17.16	-16.00	-16.00	16.00	-17.54	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-12.49	-16.00	-6.15	-16.00	-16.00	-17.78	16.00	16.00	-4.74	16.00	-16.00	16.00	-14.69	-16.00	-8.61	-14.85	-17.10	-6.58	16.00	16.00	-4.71	213.80	14.62
{5} {18} {24,27} {26}	[{5}, {18}, {24, 27}, {26}]	{feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Fem}	-16.00	16.00	16.00	16.00	-16.00	11.98	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-15.21	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	6.65	213.76	14.62
{23,24,25,27} {3} {105}	[{24, 25, 27, 23}, {3}, {105}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_PUNCT}	-16.00	16.00	10.75	16.00	-16.00	-18.44	10.29	-16.00	-16.00	10.72	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	10.69	-16.00	-16.00	10.66	16.00	16.00	-13.00	16.00	-16.00	16.00	16.00	-16.00	11.27	10.65	10.47	11.32	16.00	16.00	3.83	213.72	14.62
{24} {3} {18} {5,24} {3,5}	[{24}, {3}, {18}, {24, 5}, {3, 5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	-16.00	16.00	-16.00	-11.11	-16.00	-10.29	-16.00	-16.00	-16.00	10.22	16.00	10.83	16.00	-16.00	-16.00	-17.94	10.98	-16.00	-19.13	-16.00	10.40	-16.00	-16.00	10.30	16.00	10.50	-7.26	16.00	-16.00	16.00	-16.00	-16.00	10.51	10.49	-16.00	12.31	16.00	16.00	-2.56	213.63	14.62
{5,24,25,27} {3,5} {5}	[{24, 25, 27, 5}, {3, 5}, {5}]	{feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {feats_Number=Sing}	-16.00	16.00	16.00	16.00	-16.00	10.68	10.53	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	11.86	16.00	16.00	-13.00	16.00	-16.00	16.00	16.00	16.00	16.00	11.63	10.90	16.00	16.00	16.00	5.33	213.52	14.61
{3,26} {18} {24,27} {5}	[{26, 3}, {18}, {24, 27}, {5}]	{pos_NOUN,feats_Gender=Fem} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	-16.00	16.00	-18.92	-7.69	-16.00	-7.12	-18.18	-16.00	-16.00	16.00	-18.58	16.00	16.00	-16.00	-16.00	-12.41	16.00	-16.00	-13.24	-16.00	16.00	-16.00	-16.00	16.00	-16.00	16.00	-5.02	16.00	-16.00	-11.86	-15.56	-16.00	-9.12	16.00	-18.11	16.00	16.00	-6.72	-4.70	213.47	14.61
{24,27} {3} {18} {3,5}	[{24, 27}, {3}, {18}, {3, 5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_NOUN,feats_Number=Sing}	-16.00	-15.28	10.58	12.74	-16.00	10.35	-16.00	-16.00	-16.00	-15.31	16.00	-16.00	-16.00	-16.00	-16.00	-15.96	16.00	-16.00	11.11	-16.00	10.77	-16.00	-16.00	10.56	16.00	-17.86	-6.46	16.00	-16.00	16.00	16.00	-16.00	11.29	10.48	-16.00	16.00	16.00	-8.64	-3.15	213.38	14.61
{24,27} {3} {18} {24,27} {5}	[{24, 27}, {3}, {18}, {24, 27}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	-16.00	16.00	-16.00	-10.79	-16.00	-10.00	-16.00	-16.00	-16.00	10.28	16.00	16.00	16.00	-16.00	-16.00	-17.42	16.00	-16.00	-18.58	-16.00	10.54	-16.00	-16.00	10.38	16.00	10.59	-7.05	16.00	-16.00	16.00	-16.00	-16.00	11.48	10.46	-16.00	11.43	16.00	-9.44	-2.90	213.33	14.61
{17,18,730} {4,5,24} {4,5}	[{17, 18, 730}, {24, 4, 5}, {4, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	10.30	-11.75	-16.00	10.25	-16.00	-16.00	-16.00	10.35	16.00	11.38	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	10.45	-16.00	-16.00	10.31	16.00	-16.00	-7.67	-8.25	-16.00	16.00	16.00	-16.00	11.05	-16.00	-16.00	11.23	16.00	16.00	-2.27	213.32	14.61
{18} {4,5,23,24,25,27,43,44} {5}	[{18}, {4, 5, 43, 44, 23, 24, 25, 27}, {5}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,dep_le,wp_▁le} {feats_Number=Sing}	-16.00	16.00	11.21	16.00	-16.00	10.58	-16.00	-16.00	-16.00	10.69	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	11.62	-16.00	-16.00	10.95	16.00	16.00	-15.04	16.00	-16.00	16.00	16.00	16.00	16.00	11.16	-16.00	16.00	16.00	16.00	5.14	213.27	14.60
{5,23,24,25,27} {3,5} {5}	[{5, 23, 24, 25, 27}, {3, 5}, {5}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {feats_Number=Sing}	-16.00	16.00	16.00	16.00	-16.00	10.60	10.50	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	11.46	16.00	16.00	-12.99	16.00	-16.00	16.00	16.00	16.00	16.00	11.42	10.83	16.00	16.00	16.00	5.31	213.26	14.60
{17,18,728,730} {5} {4}	[{728, 17, 18, 730}, {5}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {feats_Gender=Masc}	-16.00	16.00	16.00	-16.00	-16.00	16.00	10.82	-16.00	-16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-14.93	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	6.63	213.14	14.60
{17,18} {4,5} {4,5}	[{17, 18}, {4, 5}, {4, 5}]	{lemma_de,pos_ADP} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	10.28	-19.01	-16.00	10.14	-16.00	-16.00	-16.00	10.25	16.00	10.84	16.00	16.00	10.71	10.80	-16.00	-16.00	-16.00	-16.00	10.32	-16.00	-16.00	10.25	16.00	10.63	-12.41	16.00	-16.00	16.00	16.00	16.00	10.61	10.36	-16.00	10.55	16.00	16.00	1.64	212.84	14.59
{3} {18} {5,24} {3,26}	[{3}, {18}, {24, 5}, {26, 3}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Fem}	-16.00	16.00	-16.00	10.85	-16.00	-12.75	-16.00	-16.00	-16.00	10.23	16.00	10.97	16.00	-16.00	-16.00	16.00	10.93	-16.00	-16.00	-16.00	10.32	-16.00	-16.00	10.36	16.00	10.50	-8.99	16.00	-16.00	16.00	16.00	-16.00	10.48	10.61	-16.00	10.83	16.00	-12.04	-1.04	212.79	14.59
{17,18} {24} {92}	[{17, 18}, {24}, {92}]	{lemma_de,pos_ADP} {pos_DET} {feats_Number=Plur}	-16.00	16.00	11.46	16.00	-16.00	-16.00	-16.00	-16.00	-16.00	11.55	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	8.70	10.95	-16.00	11.20	16.00	16.00	-15.64	7.04	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	4.98	212.79	14.59
{684} {24,27} {3}	[{684}, {24, 27}, {3}]	{pos_VERB} {pos_DET,feats_PronType=Art} {pos_NOUN}	-16.00	16.00	10.48	10.68	-16.00	-12.22	-16.00	-16.00	-16.00	10.31	16.00	11.05	16.00	-16.00	11.63	-16.00	-16.00	-16.00	12.52	-16.00	-11.17	-16.00	-16.00	10.43	16.00	-16.00	-8.62	16.00	-16.00	16.00	16.00	-16.00	10.67	10.50	-16.00	16.00	16.00	-11.53	-1.51	212.77	14.59
{18} {26} {3,26}	[{18}, {26}, {26, 3}]	{pos_ADP} {feats_Gender=Fem} {pos_NOUN,feats_Gender=Fem}	-16.00	16.00	10.90	16.00	-16.00	10.45	-16.00	-16.00	-16.00	10.55	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	10.87	-16.00	-16.00	10.87	16.00	16.00	-15.09	16.00	-16.00	16.00	16.00	16.00	16.00	10.66	-16.00	16.00	16.00	16.00	5.08	212.72	14.58
{23,24,25,27} {4} {17,18}	[{24, 25, 27, 23}, {4}, {17, 18}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc} {lemma_de,pos_ADP}	-16.00	-15.44	10.54	-9.99	-16.00	-9.25	-16.00	-16.00	-16.00	-15.46	16.00	16.00	16.00	-16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	10.53	-16.00	-16.00	10.48	16.00	11.48	-6.52	16.00	-16.00	16.00	-16.00	-16.00	16.00	10.66	-16.00	16.00	16.00	-8.73	-3.26	212.66	14.58
{684} {18} {5}	[{684}, {18}, {5}]	{pos_VERB} {pos_ADP} {feats_Number=Sing}	-16.00	16.00	10.32	-13.57	-16.00	-12.57	-16.00	-16.00	-16.00	10.26	16.00	10.67	16.00	-16.00	10.71	-16.00	-16.00	-16.00	-16.00	-16.00	10.24	-16.00	-16.00	10.29	16.00	10.57	-8.86	16.00	-16.00	16.00	16.00	-16.00	10.52	10.26	-16.00	10.77	16.00	16.00	-1.12	212.65	14.58
{3} {17,18,730} {26}	[{3}, {17, 18, 730}, {26}]	{pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Gender=Fem}	-16.00	16.00	10.47	11.75	-16.00	10.28	-16.00	-16.00	-16.00	10.41	16.00	16.00	16.00	-16.00	11.02	16.00	16.00	-16.00	13.08	-16.00	10.33	-16.00	-16.00	10.42	16.00	11.52	-12.23	16.00	-16.00	16.00	16.00	-16.00	10.82	10.60	-16.00	10.95	16.00	-16.00	1.88	212.62	14.58
{3,4} {18} {24,27}	[{3, 4}, {18}, {24, 27}]	{pos_NOUN,feats_Gender=Masc} {pos_ADP} {pos_DET,feats_PronType=Art}	-16.00	16.00	-16.00	-11.11	-16.00	-10.29	-16.00	-16.00	-16.00	10.26	16.00	11.03	16.00	-16.00	-16.00	16.00	11.35	-16.00	-19.12	-16.00	10.47	-16.00	-16.00	10.36	16.00	10.58	-7.25	16.00	-16.00	16.00	-16.00	-16.00	10.63	10.59	-16.00	16.00	16.00	-9.71	-2.22	212.57	14.58
{18} {24,26} {3}	[{18}, {24, 26}, {3}]	{pos_ADP} {pos_DET,feats_Gender=Fem} {pos_NOUN}	-16.00	16.00	10.85	16.00	-16.00	10.49	-16.00	-16.00	-16.00	10.72	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	10.86	16.00	16.00	-14.63	16.00	-16.00	16.00	16.00	16.00	11.53	10.93	-16.00	16.00	16.00	16.00	5.12	212.56	14.58
{5,24,27} {5} {17,18} {5}	[{24, 27, 5}, {5}, {17, 18}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing}	-16.00	16.00	-16.00	-11.81	-16.00	10.23	-16.00	-16.00	-16.00	10.28	16.00	11.08	-16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	10.41	-16.00	-16.00	10.29	16.00	10.85	-7.71	16.00	-16.00	16.00	16.00	-16.00	10.71	10.55	-16.00	10.74	16.00	-10.33	-1.65	212.56	14.58
{24} {3} {18} {5,23,24,25,27}	[{24}, {3}, {18}, {5, 23, 24, 25, 27}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	-16.00	16.00	-18.67	-7.59	-16.00	-7.03	-17.93	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	-12.25	-16.00	-16.00	-13.06	-16.00	16.00	-16.00	-16.00	-18.58	16.00	16.00	-4.95	16.00	-16.00	-11.70	-15.36	-16.00	-9.00	16.00	-17.87	16.00	16.00	-6.63	-4.65	212.53	14.58
{3,5} {18} {5,23,24,25,27}	[{3, 5}, {18}, {5, 23, 24, 25, 27}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	-16.00	16.00	-16.00	-12.18	-16.00	-11.28	-16.00	-16.00	-16.00	10.47	16.00	11.48	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	10.58	-16.00	-16.00	10.49	16.00	10.56	-7.96	16.00	-16.00	16.00	-16.00	-16.00	11.10	10.60	-16.00	11.30	16.00	-10.65	-2.20	212.52	14.58
{24,27} {3,4} {18}	[{24, 27}, {3, 4}, {18}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc} {pos_ADP}	-16.00	16.00	16.00	16.00	-16.00	9.06	-16.00	-16.00	-16.00	12.06	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	6.45	212.50	14.58
{730} {24,92} {92}	[{730}, {24, 92}, {92}]	{wp_▁de} {pos_DET,feats_Number=Plur} {feats_Number=Plur}	-16.00	16.00	11.30	16.00	-16.00	-16.00	-16.00	-16.00	-16.00	11.12	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	8.72	10.83	-16.00	11.01	16.00	16.00	-15.62	7.06	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	4.96	212.47	14.58
{24} {4} {5}	[{24}, {4}, {5}]	{pos_DET} {feats_Gender=Masc} {feats_Number=Sing}	-16.00	16.00	11.33	16.00	-16.00	10.85	-16.00	-16.00	-16.00	11.03	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	11.25	-16.00	-16.00	11.16	16.00	16.00	-13.95	16.00	-16.00	16.00	16.00	16.00	16.00	11.69	-16.00	16.00	16.00	16.00	5.19	212.46	14.58
{18} {24} {4} {18}	[{18}, {24}, {4}, {18}]	{pos_ADP} {pos_DET} {feats_Gender=Masc} {pos_ADP}	-16.00	16.00	10.50	-12.72	-16.00	-11.78	-16.00	-16.00	-16.00	10.35	16.00	11.96	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	10.49	-16.00	-16.00	10.45	16.00	10.96	-8.31	16.00	-16.00	16.00	-16.00	-16.00	11.41	10.47	-16.00	10.85	16.00	-11.12	-1.54	212.45	14.58
{23,24,25,27} {3} {17,18} {5} {5}	[{24, 25, 27, 23}, {3}, {17, 18}, {5}, {5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	-16.00	16.00	-16.00	-6.59	-19.16	-6.10	-15.57	-16.00	-16.00	16.00	16.00	-17.10	-16.00	-16.00	-16.00	-10.63	-16.00	-19.43	-11.34	-16.00	16.00	-16.00	-16.00	16.00	-13.78	16.00	-4.30	16.00	-16.00	16.00	-13.33	-16.00	16.00	16.00	-15.51	16.00	16.00	-5.76	-4.59	212.41	14.57
{24} {5} {5,26}	[{24}, {5}, {26, 5}]	{pos_DET} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	-16.00	16.00	10.31	-9.64	-16.00	-8.93	-16.00	-16.00	-16.00	10.36	16.00	11.89	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	10.44	-16.00	-16.00	-16.00	16.00	-17.42	-6.30	16.00	-16.00	16.00	-19.52	-16.00	11.20	10.50	-16.00	-8.74	16.00	16.00	-3.52	212.36	14.57
{92} {18} {24,27}	[{92}, {18}, {24, 27}]	{feats_Number=Plur} {pos_ADP} {pos_DET,feats_PronType=Art}	-16.00	16.00	10.64	11.38	-16.00	-12.61	-16.00	-16.00	-16.00	10.42	16.00	11.98	16.00	-16.00	11.33	-16.00	16.00	-16.00	-16.00	-16.00	10.36	-16.00	-16.00	10.58	16.00	11.15	-8.89	16.00	-16.00	16.00	-16.00	-16.00	-16.00	10.46	-16.00	11.06	16.00	-11.90	-1.79	212.34	14.57
{17,18,730,878} {4,5,23,24,25,27,43,44} {4,5}	[{17, 18, 878, 730}, {4, 5, 43, 44, 23, 24, 25, 27}, {4, 5}]	{lemma_de,pos_ADP,wp_▁de,dep_de} {feats_Gender=Masc,feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,dep_le,wp_▁le} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	-16.00	-10.36	-16.00	10.34	-16.00	-16.00	-16.00	10.61	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-17.84	-16.00	10.46	-16.00	-16.00	10.44	16.00	-18.72	-6.77	-7.28	-16.00	16.00	16.00	-16.00	11.53	-16.00	-16.00	11.59	16.00	-9.06	-3.50	212.22	14.57
{3} {17,18} {24} {3}	[{3}, {17, 18}, {24}, {3}]	{pos_NOUN} {lemma_de,pos_ADP} {pos_DET} {pos_NOUN}	-16.00	16.00	10.45	11.39	-16.00	10.32	-16.00	-16.00	-16.00	10.32	16.00	11.43	16.00	-16.00	10.99	16.00	16.00	-16.00	-16.00	-16.00	10.34	-16.00	-16.00	10.37	16.00	10.73	-10.55	16.00	-16.00	16.00	-16.00	-16.00	10.79	10.43	-16.00	10.88	16.00	16.00	1.00	212.16	14.57
{24,27} {3,5} {17,18}	[{24, 27}, {3, 5}, {17, 18}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP}	-16.00	16.00	16.00	8.29	-16.00	11.04	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	6.40	212.12	14.56
{24,25,27} {26} {26}	[{24, 25, 27}, {26}, {26}]	{pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem} {feats_Gender=Fem}	-16.00	16.00	10.41	10.82	-16.00	10.28	-16.00	-16.00	-16.00	10.24	16.00	11.16	16.00	-16.00	-16.00	11.07	-16.00	-16.00	-16.00	-16.00	10.28	-16.00	-16.00	10.39	16.00	11.12	-9.16	16.00	-16.00	16.00	-16.00	16.00	10.69	10.51	-16.00	10.87	16.00	16.00	0.18	212.07	14.56
{18} {5,24,27} {5} {5}	[{18}, {24, 27, 5}, {5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {feats_Number=Sing}	-16.00	16.00	10.33	-18.32	-16.00	10.24	-16.00	-16.00	-16.00	10.35	16.00	11.01	16.00	-16.00	10.91	16.00	-16.00	-16.00	-16.00	-16.00	10.44	-16.00	-16.00	10.31	16.00	10.69	-11.96	16.00	-16.00	16.00	16.00	16.00	10.50	10.43	10.29	10.79	16.00	16.00	1.68	212.03	14.56
{5} {3,5} {17,18,730} {5}	[{5}, {3, 5}, {17, 18, 730}, {5}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	-16.00	-13.19	-16.00	-8.53	-16.00	10.53	-16.00	-16.00	-16.00	-13.21	16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	-16.00	-14.69	-16.00	10.48	-16.00	-16.00	10.60	-17.86	16.00	-5.57	16.00	-16.00	16.00	-17.28	-16.00	16.00	10.79	-16.00	16.00	16.00	-7.46	-3.98	212.00	14.56
{4} {730} {5}	[{4}, {730}, {5}]	{feats_Gender=Masc} {wp_▁de} {feats_Number=Sing}	-16.00	16.00	10.52	16.00	-16.00	10.32	-16.00	-16.00	-16.00	10.35	16.00	11.84	16.00	-16.00	11.17	16.00	16.00	-16.00	11.87	-16.00	10.51	-16.00	-16.00	10.46	16.00	11.29	-11.65	16.00	-16.00	16.00	16.00	-16.00	10.94	10.56	-16.00	12.29	16.00	-15.60	1.92	211.97	14.56
{5} {5} {1037}	[{5}, {5}, {1037}]	{feats_Number=Sing} {feats_Number=Sing} {wp_,}	-16.00	16.00	-16.00	-8.79	-16.00	-8.14	-16.00	-16.00	-16.00	10.57	16.00	11.47	16.00	-16.00	-16.00	-14.18	-16.00	-16.00	-15.12	-16.00	10.76	-16.00	-16.00	10.46	16.00	-15.87	-5.74	16.00	-16.00	16.00	-17.79	-16.00	16.00	-17.98	-16.00	12.27	16.00	16.00	-4.21	211.96	14.56
