	motifs_int	motifs_str	k	M	f	t	T	indice
{24,27} {3,5} {18}	[{24, 27}, {3, 5}, {18}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {pos_ADP}	460	229	11847	947	48978	inf
{730} {5} {3,5}	[{730}, {5}, {3, 5}]	{wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	466	267	13812	947	48978	inf
{18} {24} {92}	[{18}, {24}, {92}]	{pos_ADP} {pos_DET} {feats_Number=Plur}	434	313	16221	947	48978	inf
{730} {5,24} {3}	[{730}, {24, 5}, {3}]	{wp_▁de} {feats_Number=Sing,pos_DET} {pos_NOUN}	464	264	13686	947	48978	inf
{5} {17,18} {5,24,27}	[{5}, {17, 18}, {24, 27, 5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	264	69	3583	947	48978	inf
{5} {3} {17,18,728,730} {5}	[{5}, {3}, {728, 17, 18, 730}, {5}]	{feats_Number=Sing} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	254	49	2559	947	48978	inf
{18} {4,5,23,24,25,27,43,44} {4}	[{18}, {4, 5, 43, 44, 23, 24, 25, 27}, {4}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,dep_le,wp_▁le} {feats_Gender=Masc}	434	126	6541	947	48978	inf
{5} {3} {17,18,728,730}	[{5}, {3}, {728, 17, 18, 730}]	{feats_Number=Sing} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de}	362	124	6433	947	48978	inf
{5,24,27} {3} {18}	[{24, 27, 5}, {3}, {18}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP}	460	229	11848	947	48978	inf
{18} {5,24} {3,4}	[{18}, {24, 5}, {3, 4}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Masc}	513	279	14416	947	48978	inf
{18} {5,24,27} {3,4}	[{18}, {24, 27, 5}, {3, 4}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc}	493	249	12870	947	48978	inf
{5} {4} {4,5}	[{5}, {4}, {4, 5}]	{feats_Number=Sing} {feats_Gender=Masc} {feats_Gender=Masc,feats_Number=Sing}	336	82	4275	947	48978	inf
{18} {4,5,24,27} {3,4}	[{18}, {24, 27, 4, 5}, {3, 4}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc}	451	157	8158	947	48978	inf
{18} {5,24} {3} {18}	[{18}, {24, 5}, {3}, {18}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN} {pos_ADP}	362	102	5280	947	48978	inf
{5} {17,18} {5,24}	[{5}, {17, 18}, {24, 5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET}	286	76	3931	947	48978	inf
{17,18} {5,23,24,25,27} {3}	[{17, 18}, {5, 23, 24, 25, 27}, {3}]	{lemma_de,pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	445	236	12201	947	48978	inf
{17,18,728,730} {4,5} {5}	[{728, 17, 18, 730}, {4, 5}, {5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc,feats_Number=Sing} {feats_Number=Sing}	379	69	3606	947	48978	inf
{18} {92} {3}	[{18}, {92}, {3}]	{pos_ADP} {feats_Number=Plur} {pos_NOUN}	432	290	15030	947	48978	inf
{18} {4} {3}	[{18}, {4}, {3}]	{pos_ADP} {feats_Gender=Masc} {pos_NOUN}	477	236	12196	947	48978	inf
{17,18,730} {5} {3}	[{17, 18, 730}, {5}, {3}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {pos_NOUN}	467	267	13836	947	48978	inf
{18} {24,27} {3,5,26}	[{18}, {24, 27}, {26, 3, 5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	454	256	13260	947	48978	inf
