	motifs_int	motifs_str	k	M	f	t	T	indice
{17,18,730} {5,23,24,25,27} {3,5,26}	[{17, 18, 730}, {5, 23, 24, 25, 27}, {26, 3, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	206	46	3014	748	48978	10.73303209539848
{5,24,27} {5} {18} {24}	[{24, 27, 5}, {5}, {18}, {24}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {pos_ADP} {pos_DET}	221	46	3014	748	48978	10.73303209539848
{26} {26} {18}	[{26}, {26}, {18}]	{feats_Gender=Fem} {feats_Gender=Fem} {pos_ADP}	290	107	7052	748	48978	10.732341653332071
{5,23,24,25,27} {3,5} {18} {24}	[{5, 23, 24, 25, 27}, {3, 5}, {18}, {24}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_DET}	208	37	2423	748	48978	10.732219312091422
{4} {17,18} {26}	[{4}, {17, 18}, {26}]	{feats_Gender=Masc} {lemma_de,pos_ADP} {feats_Gender=Fem}	222	55	3628	748	48978	10.732003346800614
{18} {23,24,25,27,92} {3}	[{18}, {23, 24, 25, 27, 92}, {3}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur} {pos_NOUN}	281	167	10948	748	48978	10.728348273564103
{5,24} {3} {18} {5} {3,5}	[{24, 5}, {3}, {18}, {5}, {3, 5}]	{feats_Number=Sing,pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	191	6	422	748	48978	10.727153011798784
{3,4} {18} {24} {3}	[{3, 4}, {18}, {24}, {3}]	{pos_NOUN,feats_Gender=Masc} {pos_ADP} {pos_DET} {pos_NOUN}	203	37	2469	748	48978	10.726888129870138
{730} {5} {3,5}	[{730}, {5}, {3, 5}]	{wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	321	211	13812	748	48978	10.726646533880485
{24,27} {3,26} {18}	[{24, 27}, {26, 3}, {18}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem} {pos_ADP}	284	107	7035	748	48978	10.726032867817189
