	motifs_int	motifs_str	k	M	f	t	T	indice
{5,23,24,25,27} {3,5} {17,18,730}	[{5, 23, 24, 25, 27}, {3, 5}, {17, 18, 730}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de}	0	60	3407	863	48978	-27.27230039537083
{5,23,24,25,27} {3} {17,18,728,730}	[{5, 23, 24, 25, 27}, {3}, {728, 17, 18, 730}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de}	0	60	3408	863	48978	-27.28060371184201
{5,23,24,25,27} {3,5} {730}	[{5, 23, 24, 25, 27}, {3, 5}, {730}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {wp_▁de}	0	60	3410	863	48978	-27.297210896706574
{5} {3,5} {18} {24}	[{5}, {3, 5}, {18}, {24}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_DET}	0	60	3411	863	48978	-27.305514765099964
{18} {23,24,25,27} {3} {11}	[{18}, {24, 25, 27, 23}, {3}, {11}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADJ}	0	60	3425	863	48978	-27.42178824519353
{18} {24} {3} {17,18} {5}	[{18}, {24}, {3}, {17, 18}, {5}]	{pos_ADP} {pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing}	0	60	3430	863	48978	-27.463323231765067
{18} {5,23,24,25,26,27,964} {3,5,26}	[{18}, {964, 5, 23, 24, 25, 26, 27}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_Gender=Fem,feats_PronType=Art,wp_▁la} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	60	3433	863	48978	-27.48824643335346
{18} {5,23,24,25,26,27,964} {3,5}	[{18}, {964, 5, 23, 24, 25, 26, 27}, {3, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_Gender=Fem,feats_PronType=Art,wp_▁la} {pos_NOUN,feats_Number=Sing}	0	60	3434	863	48978	-27.496554535543588
{4,5} {3,5} {18}	[{4, 5}, {3, 5}, {18}]	{feats_Gender=Masc,feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP}	0	60	3439	863	48978	-27.538097809265203
{18} {5,24} {3,5} {5}	[{18}, {24, 5}, {3, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {feats_Number=Sing}	0	60	3440	863	48978	-27.546407016563723
{18} {24} {3,5} {5}	[{18}, {24}, {3, 5}, {5}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Number=Sing} {feats_Number=Sing}	0	60	3441	863	48978	-27.55471640817337
{18} {5,24} {3} {5}	[{18}, {24, 5}, {3}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN} {feats_Number=Sing}	0	60	3442	863	48978	-27.563025984018307
{5} {5} {18} {5,23,24,25,27} {5}	[{5}, {5}, {18}, {5, 23, 24, 25, 27}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	60	3443	863	48978	-27.571335744073252
{5} {5} {18} {23,24,25,27} {5}	[{5}, {5}, {18}, {24, 25, 27, 23}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	60	3445	863	48978	-27.587955816939576
{4} {3,5} {18}	[{4}, {3, 5}, {18}]	{feats_Gender=Masc} {pos_NOUN,feats_Number=Sing} {pos_ADP}	0	60	3446	863	48978	-27.59626612975095
