	motifs_int	motifs_str	k	M	f	t	T	indice
{5,24,27} {3,5} {17,18} {5} {5}	[{24, 27, 5}, {3, 5}, {17, 18}, {5}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	0	6	563	567	48978	-2.8636447675353187
{24,27,92} {92} {26}	[{24, 27, 92}, {92}, {26}]	{pos_DET,feats_PronType=Art,feats_Number=Plur} {feats_Number=Plur} {feats_Gender=Fem}	0	6	564	567	48978	-2.868760914275074
{5,26} {17,18,728,730} {5}	[{26, 5}, {728, 17, 18, 730}, {5}]	{feats_Number=Sing,feats_Gender=Fem} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	0	6	564	567	48978	-2.868760914275074
{5,24,27} {3} {17,18} {5} {5}	[{24, 27, 5}, {3}, {17, 18}, {5}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	0	6	564	567	48978	-2.868760914275074
{5} {17,18} {5,23,24,25,27} {3,5}	[{5}, {17, 18}, {5, 23, 24, 25, 27}, {3, 5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	0	6	564	567	48978	-2.868760914275074
{17,18} {92} {26}	[{17, 18}, {92}, {26}]	{lemma_de,pos_ADP} {feats_Number=Plur} {feats_Gender=Fem}	0	6	564	567	48978	-2.868760914275074
{3,5} {17,18} {3,5}	[{3, 5}, {17, 18}, {3, 5}]	{pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {pos_NOUN,feats_Number=Sing}	0	6	565	567	48978	-2.8738771673899803
{23,24,25,27} {26} {5}	[{24, 25, 27, 23}, {26}, {5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem} {feats_Number=Sing}	0	6	565	567	48978	-2.8738771673899803
{5} {3} {4}	[{5}, {3}, {4}]	{feats_Number=Sing} {pos_NOUN} {feats_Gender=Masc}	0	6	567	567	48978	-2.884109992517733
{5,24,27} {5} {17,18} {5} {5}	[{24, 27, 5}, {5}, {17, 18}, {5}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	0	6	569	567	48978	-2.894343242817459
{23,24,25,27} {3,4} {17,18,728,730}	[{24, 25, 27, 23}, {3, 4}, {728, 17, 18, 730}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de}	0	6	570	567	48978	-2.8994600275047695
{24,27,92} {26,92} {92}	[{24, 27, 92}, {26, 92}, {92}]	{pos_DET,feats_PronType=Art,feats_Number=Plur} {feats_Gender=Fem,feats_Number=Plur} {feats_Number=Plur}	0	6	570	567	48978	-2.8994600275047695
{730} {92} {26,92}	[{730}, {92}, {26, 92}]	{wp_▁de} {feats_Number=Plur} {feats_Gender=Fem,feats_Number=Plur}	0	6	570	567	48978	-2.8994600275047695
{730} {92} {26}	[{730}, {92}, {26}]	{wp_▁de} {feats_Number=Plur} {feats_Gender=Fem}	0	6	571	567	48978	-2.904576918440835
{18} {3} {18}	[{18}, {3}, {18}]	{pos_ADP} {pos_NOUN} {pos_ADP}	0	6	572	567	48978	-2.9096939157773303
{18} {24,27} {3,26} {26}	[{18}, {24, 27}, {26, 3}, {26}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem} {feats_Gender=Fem}	0	6	573	567	48978	-2.9148110194636976
{5} {3,5} {17,18} {24}	[{5}, {3, 5}, {17, 18}, {24}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {pos_DET}	0	6	575	567	48978	-2.9250455457596516
{23,24,25,27} {4} {17,18,728,730}	[{24, 25, 27, 23}, {4}, {728, 17, 18, 730}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de}	0	6	575	567	48978	-2.9250455457596516
{5} {3} {17,18} {24}	[{5}, {3}, {17, 18}, {24}]	{feats_Number=Sing} {pos_NOUN} {lemma_de,pos_ADP} {pos_DET}	0	6	576	567	48978	-2.9301629684197965
{18} {24} {26} {11,26}	[{18}, {24}, {26}, {26, 11}]	{pos_ADP} {pos_DET} {feats_Gender=Fem} {pos_ADJ,feats_Gender=Fem}	0	6	578	567	48978	-2.9403981328149813
{5} {17,18} {24} {3,26}	[{5}, {17, 18}, {24}, {26, 3}]	{feats_Number=Sing} {lemma_de,pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Fem}	0	6	578	567	48978	-2.9403981328149813
