	motifs_int	motifs_str	k	M	f	t	T	indice
{92} {92} {18} {5,24,27} {3,5}	[{92}, {92}, {18}, {24, 27, 5}, {3, 5}]	{feats_Number=Plur} {feats_Number=Plur} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	0	14	94	7451	48978	-6.743989840897511
{17,18,728,730} {5} {3,5} {105}	[{728, 17, 18, 730}, {5}, {3, 5}, {105}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_PUNCT}	0	14	94	7451	48978	-6.743989840897511
{26} {18} {5}	[{26}, {18}, {5}]	{feats_Gender=Fem} {pos_ADP} {feats_Number=Sing}	2240	2429	15970	7451	48978	-6.772636087425953
{3,92} {18} {24} {3}	[{3, 92}, {18}, {24}, {3}]	{pos_NOUN,feats_Number=Plur} {pos_ADP} {pos_DET} {pos_NOUN}	0	14	95	7451	48978	-6.815810196318198
{92} {3,26} {18}	[{92}, {26, 3}, {18}]	{feats_Number=Plur} {pos_NOUN,feats_Gender=Fem} {pos_ADP}	0	14	95	7451	48978	-6.815810196318198
{3,4} {17,18} {5,24} {5}	[{3, 4}, {17, 18}, {24, 5}, {5}]	{pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	0	14	95	7451	48978	-6.815810196318198
{3,4} {17,18,728,730} {24}	[{3, 4}, {728, 17, 18, 730}, {24}]	{pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET}	0	14	95	7451	48978	-6.815810196318198
{92} {18} {3,5,26}	[{92}, {18}, {26, 3, 5}]	{feats_Number=Plur} {pos_ADP} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	14	95	7451	48978	-6.815810196318198
{5} {3,5,26} {5,11}	[{5}, {26, 3, 5}, {11, 5}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing,pos_ADJ}	0	14	95	7451	48978	-6.815810196318198
{92} {3,92} {18} {3,5}	[{92}, {3, 92}, {18}, {3, 5}]	{feats_Number=Plur} {pos_NOUN,feats_Number=Plur} {pos_ADP} {pos_NOUN,feats_Number=Sing}	0	14	95	7451	48978	-6.815810196318198
{24,27} {4} {18} {5} {5}	[{24, 27}, {4}, {18}, {5}, {5}]	{pos_DET,feats_PronType=Art} {feats_Gender=Masc} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	0	14	95	7451	48978	-6.815810196318198
{4} {17,18,728,730} {5} {3,5}	[{4}, {728, 17, 18, 730}, {5}, {3, 5}]	{feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	0	14	95	7451	48978	-6.815810196318198
{92} {3,92} {17,18} {3}	[{92}, {3, 92}, {17, 18}, {3}]	{feats_Number=Plur} {pos_NOUN,feats_Number=Plur} {lemma_de,pos_ADP} {pos_NOUN}	0	14	96	7451	48978	-6.887632149439052
{92} {3} {18} {3,5}	[{92}, {3}, {18}, {3, 5}]	{feats_Number=Plur} {pos_NOUN} {pos_ADP} {pos_NOUN,feats_Number=Sing}	0	14	96	7451	48978	-6.887632149439052
{4} {17,18} {5,24} {3,5}	[{4}, {17, 18}, {24, 5}, {3, 5}]	{feats_Gender=Masc} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	0	14	96	7451	48978	-6.887632149439052
{4} {17,18,728,730} {24} {3}	[{4}, {728, 17, 18, 730}, {24}, {3}]	{feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {pos_NOUN}	0	14	96	7451	48978	-6.887632149439052
{17,18,728,730} {5,23,24,25,27,1271,82196} {3,5,26}	[{728, 17, 18, 730}, {5, 1271, 82196, 23, 24, 25, 27}, {26, 3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l,wp_’} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	14	96	7451	48978	-6.887632149439052
{92} {92} {18} {23,24,25,27} {3}	[{92}, {92}, {18}, {24, 25, 27, 23}, {3}]	{feats_Number=Plur} {feats_Number=Plur} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	0	14	96	7451	48978	-6.887632149439052
{4} {17,18} {5} {3,5}	[{4}, {17, 18}, {5}, {3, 5}]	{feats_Gender=Masc} {lemma_de,pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	0	14	97	7451	48978	-6.959455700386468
{4,92} {18} {24}	[{4, 92}, {18}, {24}]	{feats_Gender=Masc,feats_Number=Plur} {pos_ADP} {pos_DET}	0	14	97	7451	48978	-6.959455700386468
{92} {92} {17,18} {26}	[{92}, {92}, {17, 18}, {26}]	{feats_Number=Plur} {feats_Number=Plur} {lemma_de,pos_ADP} {feats_Gender=Fem}	0	14	97	7451	48978	-6.959455700386468
{92} {3} {17,18} {3}	[{92}, {3}, {17, 18}, {3}]	{feats_Number=Plur} {pos_NOUN} {lemma_de,pos_ADP} {pos_NOUN}	0	14	97	7451	48978	-6.959455700386468
{3,92} {17,18} {3,5}	[{3, 92}, {17, 18}, {3, 5}]	{pos_NOUN,feats_Number=Plur} {lemma_de,pos_ADP} {pos_NOUN,feats_Number=Sing}	0	14	97	7451	48978	-6.959455700386468
{17,18,728,730} {5,23,24,25,27,1271} {3,5,26}	[{728, 17, 18, 730}, {5, 1271, 23, 24, 25, 27}, {26, 3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	14	97	7451	48978	-6.959455700386468
{4} {18} {5,23,24,25,27,1271,82196} {3,5}	[{4}, {18}, {5, 1271, 82196, 23, 24, 25, 27}, {3, 5}]	{feats_Gender=Masc} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l,wp_’} {pos_NOUN,feats_Number=Sing}	0	14	97	7451	48978	-6.959455700386468
{92} {18} {24} {26}	[{92}, {18}, {24}, {26}]	{feats_Number=Plur} {pos_ADP} {pos_DET} {feats_Gender=Fem}	0	15	98	7451	48978	-7.031280849160447
{92} {92} {18} {5,24} {3,5}	[{92}, {92}, {18}, {24, 5}, {3, 5}]	{feats_Number=Plur} {feats_Number=Plur} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	0	15	98	7451	48978	-7.031280849160447
