	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO
{17,18,728,730,878} {23,24,25,27} {4,5}	[{878, 17, 18, 728, 730}, {24, 25, 27, 23}, {4, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc,feats_Number=Sing}	-101.9677049835823	inf	-25.478481321521745	-10.353896611965157	-30.127150862217963	10.33384072009675	-24.47626622411639	-227.8062833873346	-103.81961820870254	10.644223629219631	inf	inf	inf	-34.82094334830253	-38.80779610378833	inf	-34.734404991011864	-30.55840478427333	-17.823522652333082	-77.94540315994139	10.452676459453052	-91.51184332256923	-111.4058810477794	10.452991057575327	inf	-18.706738174663617	-6.761829321646758	-7.270352590145894	-41.44335005969766	inf	inf	-43.73559361504353	11.079493764630419	-21.188571581485537	-24.390397140750675	11.505867995241282	inf	-9.051714013199847
{17,18,728,730} {24} {5}	[{728, 17, 18, 730}, {24}, {5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {feats_Number=Sing}	-6.785672400964741	inf	6.043657914325393	1.6056696792866245	-195.4536551940525	5.957738061412117	2.155129527150879	-5.647096691950724	-inf	11.125704408350563	inf	inf	inf	1.7114091479189693	8.084750100037642	inf	inf	2.9723933390512594	0.8043412206530155	-3.4390186161160305	11.032622524383559	-0.7157719737391647	-16.961258685724246	11.485651964525543	inf	inf	-1.5205464923335648	inf	-269.106083061713	inf	inf	4.989582998116255	10.483013513417305	8.571008860883515	1.9935183039572708	inf	inf	4.116658127229127
{17,18} {24,27} {5}	[{17, 18}, {24, 27}, {5}]	{lemma_de,pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	-7.265784599342685	inf	7.145331707447284	0.9133074174269786	-203.81045785917206	5.0133080201542075	1.9642286751418152	-5.499462324606976	-inf	10.40186681452679	inf	11.352931687170063	inf	1.6808174079428724	9.93884033071598	inf	inf	2.6288851969450056	1.0175229256599625	-3.3522781066927365	10.51936991252721	-0.6794084555745272	-17.118790484577698	10.385434818911376	inf	10.812961298646705	-0.8023438189478755	inf	-280.6262097114088	inf	inf	6.27403148377036	10.507777761191923	7.778768714760318	2.0561348226770857	11.02805183214054	inf	4.33061048862669
{17,18} {24} {4,5}	[{17, 18}, {24}, {4, 5}]	{lemma_de,pos_ADP} {pos_DET} {feats_Gender=Masc,feats_Number=Sing}	-229.05028721964007	inf	inf	-23.22353598058849	-67.59564097659727	12.396721808622981	inf	-inf	-233.21741893534235	inf	inf	inf	inf	inf	inf	inf	-77.9385685257707	inf	-39.98244066638522	-175.01959107854356	inf	-205.52768387008888	-250.2906095041716	inf	inf	inf	-15.165759441941209	inf	-93.00238040617765	inf	inf	inf	inf	inf	inf	inf	inf	inf
{17,18,730} {23,24,25,27} {5}	[{17, 18, 730}, {24, 25, 27, 23}, {5}]	{lemma_de,pos_ADP,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	-5.721787718174746	inf	5.528416040183684	1.3152846848361839	-187.58852266881962	5.2793615740818725	1.5878566978535942	-3.841617343444422	-inf	11.470703063019348	inf	inf	inf	1.2372173606151033	7.22852246061712	inf	inf	2.5542389157463767	0.6046239246868325	-3.691377345186685	inf	-0.5009958809618893	-15.18035696635249	11.037357421654054	inf	inf	-1.1892909776204574	inf	-258.26496155901395	inf	inf	4.951927454061669	9.374839432661954	6.187356521656746	1.4488573390455575	inf	inf	2.8100342530568936
{17,18,728,730} {24} {4,5}	[{728, 17, 18, 730}, {24}, {4, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {feats_Gender=Masc,feats_Number=Sing}	-161.15517789231615	inf	inf	-16.35272371709742	-47.58902881721547	inf	-38.66126114172959	-inf	-164.0843536061799	11.34063172933379	inf	inf	inf	-55.005263374761	inf	inf	-54.86852732913964	inf	-28.151617358029565	-123.16668457710114	inf	-144.6187035909881	-176.08445257802	inf	inf	inf	-10.679211718524048	inf	-65.4696031280088	inf	inf	-69.0919124377097	inf	-33.46741131176212	-38.525603287565396	inf	inf	inf
{17,18} {24} {5}	[{17, 18}, {24}, {5}]	{lemma_de,pos_ADP} {pos_DET} {feats_Number=Sing}	-11.212904626865528	inf	6.640255959075834	1.0029760447202594	-217.35277280736145	5.105712991789914	1.9466732567523097	-11.305353282896887	-inf	11.382403825922706	inf	inf	inf	1.5669479865658382	9.362668110752061	inf	inf	2.1265095129939846	0.9091788910781162	-4.605909740386191	inf	-1.7897413266278837	-22.96074915552609	11.527071203826647	inf	inf	-1.2564373315083557	inf	-21.99684554396083	inf	inf	5.0594519447272175	11.404826544722217	9.050023738808717	2.04186159908659	inf	inf	4.920636432166008
{17,18,730} {24} {5}	[{17, 18, 730}, {24}, {5}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET} {feats_Number=Sing}	-6.921543784654801	inf	6.237634019690151	1.6853639232743265	-195.99153400337397	5.893389955120914	2.098010976787162	-5.676841627772778	-inf	inf	inf	inf	inf	1.7151679510663358	8.075888273701683	inf	inf	2.9877323161043683	0.8335039396803762	-3.306054273866212	inf	-0.7490837537903725	-16.92449307305521	inf	inf	inf	-1.544651569216127	inf	-269.8475261211473	inf	inf	5.1797157976615225	10.813711069532161	8.655387827038101	1.9390778572884324	inf	inf	4.065824102378635
{4} {3,5} {18}	[{4}, {3, 5}, {18}]	{feats_Gender=Masc} {pos_NOUN,feats_Number=Sing} {pos_ADP}	-114.98001821095674	inf	-28.726279751599364	-11.673451235838357	-33.96777677207904	-10.811530201375495	-27.59626612975095	-256.93246800147665	-117.06861698312215	11.369580490288543	inf	inf	inf	-39.26023050371639	-43.755642048558514	inf	inf	-34.45403085995257	-20.095282548651344	-87.8887076528012	10.611535847278155	-103.18808125949361	-125.62458710075742	10.667778644218	inf	inf	-7.623549004228487	inf	-46.7274163361893	inf	-23.631832910125052	-49.312104398170035	inf	inf	-27.499447527322644	inf	inf	-10.205290743521193
{17,18,728,730} {23,24,25,27} {5}	[{728, 17, 18, 730}, {24, 25, 27, 23}, {5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	-5.587206053667977	inf	5.074029401241169	1.2474126501604565	-187.0318366067967	5.343897775663701	1.6394261954746292	-3.803279413676945	-inf	10.583507123677911	inf	inf	inf	1.2366371083837995	7.246249505034504	inf	inf	2.543944752690354	0.5817673595601682	-3.827162510598674	10.823879776152545	-0.47275822600148054	-15.196270594135578	10.542036829508508	inf	11.754697526664684	-1.1673778798692551	inf	-257.4976823600784	inf	inf	4.772015340284384	9.443635590032747	6.125808373832578	1.4975815371263699	inf	inf	2.6926111029435464
{23,24,25,27} {3} {17,18,730}	[{24, 25, 27, 23}, {3}, {17, 18, 730}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de}	-262.7204405501082	inf	10.75101027748385	inf	-77.50725667276362	10.537786225033285	10.368785125418023	-inf	-267.50240039595315	10.771587705316042	inf	inf	inf	inf	inf	inf	inf	inf	inf	-200.725428001225	11.04661440796923	-235.72881754353048	-287.09548164683866	10.669190005888574	inf	inf	-17.387768302579637	inf	-106.64469991056879	inf	inf	inf	inf	11.850000243011632	10.588937084144868	inf	inf	inf
{4} {18} {24,25,27} {3}	[{4}, {18}, {24, 25, 27}, {3}]	{feats_Gender=Masc} {pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	-131.95604695012148	inf	-32.96215138920575	-13.394354468555935	-38.9769188211918	-12.405349186457281	-31.665443913373828	-294.95034884005764	-134.3535546219567	10.757430555728169	inf	inf	inf	-45.05028017015215	inf	inf	inf	-39.534915235481435	-23.058091528463336	-100.85965161628114	10.67138581624895	-118.42042479201815	-144.17518148691835	10.751867204362703	inf	inf	-8.747349624197927	inf	-53.61946317290705	inf	-27.11624081177436	-56.58565219470518	inf	11.32583312288488	-31.554343377676965	inf	inf	-11.709725825808317
{18} {24,27} {26,92}	[{18}, {24, 27}, {26, 92}]	{pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Fem,feats_Number=Plur}	-87.36324624159411	-13.712185689385933	inf	inf	-25.815509588896553	-8.217328597076747	-20.973560606410658	-195.131573116038	-88.94961257021905	-13.73655780158649	inf	-23.035649116713145	inf	-29.837301579122038	inf	-14.321643895603154	-29.76315335185887	-26.18502461106886	-15.273045745274691	-66.78451278307968	-7.514137960290624	-78.40644812491217	-95.44796027115314	12.842655493858322	inf	inf	-5.794350700662715	-6.230109188910066	-35.511476573666336	inf	-17.96074620907839	-37.47547278509418	inf	-18.1564612031818	-20.899983103269808	inf	inf	-7.756568799946529
{5} {18} {24,25,27}	[{5}, {18}, {24, 25, 27}]	{feats_Number=Sing} {pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art}	-inf	inf	10.94834199971491	3.115236819899397	-130.84695640022255	6.8226277727097235	4.511826797136754	6.794711701218993	-inf	11.102201280817274	inf	inf	inf	5.074112436747676	inf	inf	inf	inf	5.051543687829403	1.4448355101986359	11.025809982902445	0.772463143037217	-inf	11.086851301134555	inf	inf	0.9135411538529156	inf	-180.08691024209085	inf	7.604525175308274	inf	inf	inf	4.6277407761770375	inf	inf	4.3052776007087985
{18} {24} {26,92}	[{18}, {24}, {26, 92}]	{pos_ADP} {pos_DET} {feats_Gender=Fem,feats_Number=Plur}	-141.3798132303536	inf	inf	inf	-41.756919873370165	-13.28983499839803	-33.92373572990249	-316.0645338388451	-143.9488651247994	inf	inf	inf	inf	-48.26372425047576	inf	-23.163390848024246	inf	-42.35473631477475	inf	-108.0595072928264	-12.152503714785583	-126.8759251930918	-154.4733641908387	inf	inf	inf	-9.370994093442262	inf	-57.44459464275513	inf	-29.0499772753694	-60.62255046555649	inf	inf	-33.804708432750424	inf	inf	-12.544606779247573
{5} {18} {5,24,25,27}	[{5}, {18}, {24, 25, 27, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art}	-268.88507908768264	inf	inf	8.675009807796727	-79.3212345275615	10.92308839705873	11.596426407277935	-inf	-273.7796741339987	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-205.4312424197728	inf	-241.25798522432777	-293.83441985092765	inf	inf	inf	-17.794378448979984	inf	-109.14160907203895	inf	inf	inf	inf	inf	inf	inf	inf	inf
{5} {18} {5,24,25,27} {5}	[{5}, {18}, {24, 25, 27, 5}, {5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	-267.0445502774454	inf	10.298084308518884	8.165671227138724	-78.77967297056865	10.077664467527146	10.112202102237609	-inf	-271.90551451025595	10.194412400554867	inf	10.686398061567624	inf	inf	10.575360419320551	10.837948824529875	10.860055755509828	inf	10.660344054052885	-204.0262845970183	10.237040753516851	-239.60719489569323	-291.8224148038343	10.281600214538468	inf	10.523829612080402	-17.672987017965454	inf	-108.39615387895458	inf	inf	11.05807457554392	10.398362071025922	10.232097345423018	10.212960001370869	10.393753339255476	inf	inf
{5} {18} {24,25,27} {3}	[{5}, {18}, {24, 25, 27}, {3}]	{feats_Number=Sing} {pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	-inf	inf	inf	6.598037794765448	-100.80125781667502	7.072463575817962	7.842551815909967	inf	-inf	inf	inf	inf	inf	9.174244442278969	inf	inf	inf	inf	8.932744107299827	-261.1848513408739	inf	-306.7768310357303	-inf	inf	inf	inf	-22.607965721853404	inf	-138.7122332865966	inf	inf	inf	inf	inf	7.982023794950232	inf	inf	6.4282277085783015
{18} {4,5,24,25,27} {3,4,5}	[{18}, {4, 5, 24, 25, 27}, {3, 4, 5}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-246.33991121651349	inf	inf	inf	-72.68609479213393	inf	inf	-inf	-250.82268047408834	inf	inf	inf	inf	-84.01772196206903	inf	inf	inf	inf	inf	-188.2202780284089	inf	-221.0363461491452	-269.18949087391786	inf	inf	inf	-16.30700836068146	inf	-100.00868826128071	inf	inf	inf	inf	inf	inf	inf	inf	inf
{4} {18} {24,25,27}	[{4}, {18}, {24, 25, 27}]	{feats_Gender=Masc} {pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art}	-179.49091375795314	inf	inf	inf	-52.994606009371395	11.421950029504435	-43.052184945431655	-inf	-182.75417490155382	12.243795670260676	inf	inf	inf	-61.25390451662203	inf	inf	inf	inf	-31.348438171072416	-137.17235117011595	inf	-161.06893989138212	-196.12325067419272	12.45545277565362	inf	inf	-11.891613827581688	inf	-72.9081189894839	inf	-36.86634395064865	-76.94239656103458	inf	inf	-42.90111139179456	inf	inf	inf
{18} {24} {3,26,92}	[{18}, {24}, {26, 3, 92}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Fem,feats_Number=Plur}	-108.58071034542907	-17.03854700897895	inf	inf	-32.07911530069745	-10.210555875434869	-26.06198599173124	-242.60693088424733	-110.55289944171435	-17.06883266014694	inf	inf	inf	-37.077163609426094	inf	-17.795882728657986	-36.98501541159526	-32.53832188977653	inf	-82.99880406737135	-9.336776971475587	-97.44589167907631	-118.63193187717998	inf	inf	inf	-7.199798949189958	inf	-44.128905953941896	inf	-22.318026210510013	-46.56977526500607	inf	-22.561234960952582	-25.970551994642374	inf	inf	-9.638019124281982
{18} {5,24,25,27} {3,4,5}	[{18}, {24, 25, 27, 5}, {3, 4, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-inf	inf	10.213926337219332	6.247199794451203	-122.16669881197373	8.104494035023798	8.056099675721029	10.67949965114239	-inf	10.212944255138176	11.273855505502574	10.960048267995969	inf	3.8213095951629175	10.70591287912058	11.23761869478115	10.66559425336253	inf	7.3334068701509665	-316.6982952840883	9.99854818760055	5.26714019723726	-inf	10.194931744444135	inf	10.547185267671491	-27.393527279750355	inf	-168.13219896384925	inf	4.684624897352819	10.701210567007664	10.576075588380856	10.411007166022612	8.212377589811073	10.478528037735073	inf	inf
{18} {5,24,25,27} {5}	[{18}, {24, 25, 27, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	-23.52624347202623	inf	4.702739999687929	2.5140215478156787	-306.2203538701222	3.8138437613396388	0.9058377231633544	-18.471901643125033	-74.35048455516765	inf	inf	inf	inf	-1.345074698009524	7.793273083629426	inf	inf	1.055093024307397	3.784611774211028	-14.116116467663234	inf	-5.313116699645972	-63.94909356162171	inf	inf	inf	-2.303814214308641	inf	-38.44452824488035	inf	10.299089254014966	3.1779095484750997	9.427814349323796	inf	0.980159251828453	inf	inf	5.279433309382026
{18} {24,25,27} {3}	[{18}, {24, 25, 27}, {3}]	{pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	-25.15150524936605	inf	inf	5.482693770698664	-inf	2.4415840680113363	0.3941671728514501	-15.975966433095115	-82.15342460425082	inf	inf	inf	inf	-2.1000150544537552	inf	inf	inf	-0.3343039079093455	8.187113075307796	-19.348846332422806	9.484042719924206	-5.340768794731041	-62.41667842457464	inf	inf	inf	-1.852771964839244	inf	-51.69043160568696	inf	8.491466268197192	2.8141156128566505	inf	inf	0.4403323601391098	inf	inf	6.578882412452916
{18} {5,23,24,25,27,1271} {3}	[{18}, {5, 1271, 23, 24, 25, 27}, {3}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {pos_NOUN}	-163.12192729359865	inf	-40.734960884041726	-16.551914484098653	-48.16893893064392	-15.329717995144863	-39.132324939682036	-inf	-166.08692981828682	11.058471584315592	inf	inf	inf	-55.675610643965136	inf	inf	inf	inf	-28.494581127908113	-124.66905667529747	inf	-146.38324922470022	-178.23383259037882	11.172346537014814	inf	inf	-10.80928459923558	inf	-66.26758752112674	inf	inf	-69.93408755770595	inf	inf	-38.99501335557799	inf	inf	inf
{18} {24,27} {3,92}	[{18}, {24, 27}, {3, 92}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Plur}	2.3855406357962314	inf	10.450280693831855	11.059952537007153	-140.37673184963975	-0.2930276189011948	-114.01469048349445	2.726350879264211	-inf	10.44244190421496	inf	inf	inf	1.4522228827211765	11.328341815728727	inf	inf	3.682286547083947	11.288015634497553	-0.5510339019065855	4.015680297590178	10.035698516951335	-inf	10.411128921542424	inf	11.251806082254731	-31.4703899821106	4.5704052050184885	-193.21304004574517	inf	inf	6.206968384761081	10.194396558251873	10.629497113633365	-113.61421563607102	11.116200393652408	inf	2.865809206975472
{18} {24,25,27} {4}	[{18}, {24, 25, 27}, {4}]	{pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc}	-13.024735364696657	inf	11.60038525882069	3.623098739155164	-244.2870358610536	2.3873454707559305	0.4724214107785787	-18.92926051217022	-56.40824330926766	inf	inf	inf	inf	-0.6757238633971023	9.754607360648434	inf	9.607777899015788	3.901949735675266	5.196379613536722	-7.066879223963624	inf	-2.061138534753914	-42.973108728911534	11.224526531976014	inf	8.650431596217462	-2.1197062185140503	6.439210458093534	-inf	inf	4.455171226098029	1.5888807897528627	8.61393290317478	10.61024466226863	0.5141106351664747	inf	inf	5.21583267215154
{5} {18} {5,24,25,27} {3,5}	[{5}, {18}, {24, 25, 27, 5}, {3, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	-213.8414245503562	inf	inf	inf	-63.11636098568903	10.693729256311833	-51.27371536866065	-inf	-217.73103723424563	11.48519489775765	inf	inf	inf	-72.95464854244373	inf	inf	inf	inf	inf	-163.40629617031877	11.075419315479046	-191.88479321405248	-233.66688532034317	inf	inf	inf	-14.161429577562501	inf	-86.83757702079102	inf	inf	inf	inf	inf	-51.09377272475883	inf	inf	inf
{18} {5,23,24,25,27,1271,82196} {3}	[{18}, {5, 1271, 82196, 23, 24, 25, 27}, {3}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l,wp_’} {pos_NOUN}	-102.1395533873277	inf	-25.521379065441135	-10.371326044440607	-30.177878443069776	-9.605560159284883	-24.517476038990445	-228.1908574059989	-103.99459188149811	10.137812397773002	-25.062358261043705	10.427555660743778	-35.86239167669937	-34.87957769653029	10.3681453786661	10.593328579295251	10.402460803165292	-30.60985878010058	-17.853528999691836	-78.07672563577127	-8.78356000622276	-91.66604940384381	-111.5936588267686	10.127523704313322	inf	10.22159966719602	-6.773211473175984	inf	-41.51314155070559	inf	-20.99545224820182	-43.80924741459864	10.405017636159254	-21.224244563628698	-24.431462337014253	10.352953422542768	inf	inf
