	motifs_int	motifs_str	k	M	f	t	T	indice
{5} {5} {5,11,26}	[{5}, {5}, {26, 11, 5}]	{feats_Number=Sing} {feats_Number=Sing} {feats_Number=Sing,pos_ADJ,feats_Gender=Fem}	0	2	304	340	48978	-0.9225695709980318
{24} {3} {17,18} {24} {26}	[{24}, {3}, {17, 18}, {24}, {26}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {pos_DET} {feats_Gender=Fem}	0	2	304	340	48978	-0.9225695709980318
{5,24} {3,5,26} {26}	[{24, 5}, {26, 3, 5}, {26}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem} {feats_Gender=Fem}	0	2	304	340	48978	-0.9225695709980318
{23,24,25,27} {3} {18} {24,27} {26}	[{24, 25, 27, 23}, {3}, {18}, {24, 27}, {26}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Fem}	0	2	304	340	48978	-0.9225695709980318
{5} {5} {17,18,730} {5} {3,5}	[{5}, {5}, {17, 18, 730}, {5}, {3, 5}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	0	2	305	340	48978	-0.9256138710397113
{24} {3,26} {5,26}	[{24}, {26, 3}, {26, 5}]	{pos_DET} {pos_NOUN,feats_Gender=Fem} {feats_Number=Sing,feats_Gender=Fem}	0	2	305	340	48978	-0.9256138710397113
{5} {5} {11,26}	[{5}, {5}, {26, 11}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADJ,feats_Gender=Fem}	0	2	305	340	48978	-0.9256138710397113
{3} {5} {18}	[{3}, {5}, {18}]	{pos_NOUN} {feats_Number=Sing} {pos_ADP}	0	2	305	340	48978	-0.9256138710397113
{18} {5} {5} {18} {24}	[{18}, {5}, {5}, {18}, {24}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {pos_DET}	0	2	305	340	48978	-0.9256138710397113
{5} {5,26} {5,11}	[{5}, {26, 5}, {11, 5}]	{feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing,pos_ADJ}	0	2	305	340	48978	-0.9256138710397113
{4,5} {18} {5,24} {5,26}	[{4, 5}, {18}, {24, 5}, {26, 5}]	{feats_Gender=Masc,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing,feats_Gender=Fem}	0	2	306	340	48978	-0.9286582338245288
{18} {24} {3} {18} {24,27}	[{18}, {24}, {3}, {18}, {24, 27}]	{pos_ADP} {pos_DET} {pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art}	0	2	306	340	48978	-0.9286582338245288
{24,92} {4,92} {92}	[{24, 92}, {4, 92}, {92}]	{pos_DET,feats_Number=Plur} {feats_Gender=Masc,feats_Number=Plur} {feats_Number=Plur}	0	2	307	340	48978	-0.9317026594030429
