	motifs_int	motifs_str	k	M	f	t	T	indice
{18} {23,24,25,27} {3} {17,18} {5}	[{18}, {24, 25, 27, 23}, {3}, {17, 18}, {5}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing}	105	14	2101	333	48978	inf
{3,5} {17,18} {5,24} {3,5}	[{3, 5}, {17, 18}, {24, 5}, {3, 5}]	{pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	85	7	1116	333	48978	inf
{4} {3} {18} {5}	[{4}, {3}, {18}, {5}]	{feats_Gender=Masc} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	84	7	1070	333	48978	inf
{4,5,24,27} {3,4} {18}	[{24, 27, 4, 5}, {3, 4}, {18}]	{feats_Gender=Masc,feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc} {pos_ADP}	88	11	1632	333	48978	inf
{23,24,25,27} {3} {18} {23,24,25,27}	[{24, 25, 27, 23}, {3}, {18}, {24, 25, 27, 23}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	94	6	891	333	48978	inf
{24} {3} {17,18} {5} {3,5}	[{24}, {3}, {17, 18}, {5}, {3, 5}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	100	5	850	333	48978	inf
{4,5} {18} {5} {3,5}	[{4, 5}, {18}, {5}, {3, 5}]	{feats_Gender=Masc,feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	86	6	1011	333	48978	inf
{24,27} {3} {17,18,730} {5} {5}	[{24, 27}, {3}, {17, 18, 730}, {5}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {feats_Number=Sing}	111	6	969	333	48978	inf
{24,27} {3} {18} {23,24,25,27} {3}	[{24, 27}, {3}, {18}, {24, 25, 27, 23}, {3}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	96	3	511	333	48978	inf
{5,23,24,25,27} {5} {17,18,730} {5}	[{5, 23, 24, 25, 27}, {5}, {17, 18, 730}, {5}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	85	3	481	333	48978	inf
{17,18} {24,27} {3} {105}	[{17, 18}, {24, 27}, {3}, {105}]	{lemma_de,pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {pos_PUNCT}	99	4	649	333	48978	inf
{18} {5,24,27} {5} {17,18,730}	[{18}, {24, 27, 5}, {5}, {17, 18, 730}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de}	84	7	1106	333	48978	inf
{24,27} {4} {17,18,728,730}	[{24, 27}, {4}, {728, 17, 18, 730}]	{pos_DET,feats_PronType=Art} {feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de}	108	13	1942	333	48978	inf
{3,5} {17,18} {24} {3}	[{3, 5}, {17, 18}, {24}, {3}]	{pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {pos_DET} {pos_NOUN}	89	15	2245	333	48978	inf
{4,5,24,27} {4} {18}	[{24, 27, 4, 5}, {4}, {18}]	{feats_Gender=Masc,feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Gender=Masc} {pos_ADP}	92	18	2683	333	48978	inf
{3,5} {18} {23,24,25,27} {26}	[{3, 5}, {18}, {24, 25, 27, 23}, {26}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem}	87	7	1125	333	48978	inf
{5} {17,18,730} {24} {3}	[{5}, {17, 18, 730}, {24}, {3}]	{feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {pos_DET} {pos_NOUN}	92	14	2115	333	48978	inf
{5,24} {3} {18} {24}	[{24, 5}, {3}, {18}, {24}]	{feats_Number=Sing,pos_DET} {pos_NOUN} {pos_ADP} {pos_DET}	95	21	3186	333	48978	inf
{5,24,27} {3} {17,18,730} {5}	[{24, 27, 5}, {3}, {17, 18, 730}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	101	8	1240	333	48978	inf
{5,24,27} {5} {17,18,728,730} {5}	[{24, 27, 5}, {5}, {728, 17, 18, 730}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	101	8	1247	333	48978	inf
{4} {17,18,728,730} {5} {5}	[{4}, {728, 17, 18, 730}, {5}, {5}]	{feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {feats_Number=Sing}	112	5	735	333	48978	inf
{5} {3} {18} {5,24} {3,5}	[{5}, {3}, {18}, {24, 5}, {3, 5}]	{feats_Number=Sing} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	83	7	1052	333	48978	inf
{5} {4,5} {17,18,728,730}	[{5}, {4, 5}, {728, 17, 18, 730}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	89	7	1168	333	48978	inf
{5,23,24,25,27} {3,4,5} {18}	[{5, 23, 24, 25, 27}, {3, 4, 5}, {18}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing} {pos_ADP}	87	9	1454	333	48978	inf
{5,24} {3,4} {17,18}	[{24, 5}, {3, 4}, {17, 18}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP}	83	9	1355	333	48978	inf
{5,24,27} {3,5} {18} {26}	[{24, 27, 5}, {3, 5}, {18}, {26}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Gender=Fem}	91	10	1467	333	48978	inf
{24} {3} {17,18} {5,24,27} {5}	[{24}, {3}, {17, 18}, {24, 27, 5}, {5}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	96	6	1008	333	48978	inf
{24} {3} {17,18,730} {24}	[{24}, {3}, {17, 18, 730}, {24}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {pos_DET}	103	8	1222	333	48978	inf
{24,27} {3} {17,18} {24} {3}	[{24, 27}, {3}, {17, 18}, {24}, {3}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP} {pos_DET} {pos_NOUN}	99	6	970	333	48978	inf
{18} {24,26} {3}	[{18}, {24, 26}, {3}]	{pos_ADP} {pos_DET,feats_Gender=Fem} {pos_NOUN}	119	43	6397	333	48978	inf
{18} {5} {5} {17,18,730}	[{18}, {5}, {5}, {17, 18, 730}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de}	87	11	1706	333	48978	inf
{5} {3} {18} {26}	[{5}, {3}, {18}, {26}]	{feats_Number=Sing} {pos_NOUN} {pos_ADP} {feats_Gender=Fem}	108	23	3388	333	48978	inf
{24} {3} {17,18,730} {5} {5}	[{24}, {3}, {17, 18, 730}, {5}, {5}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {feats_Number=Sing}	113	8	1284	333	48978	inf
{5} {5} {17,18,730} {5} {5}	[{5}, {5}, {17, 18, 730}, {5}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {feats_Number=Sing}	89	8	1236	333	48978	inf
{18} {24} {3} {17,18,728,730} {5}	[{18}, {24}, {3}, {728, 17, 18, 730}, {5}]	{pos_ADP} {pos_DET} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	102	10	1604	333	48978	inf
{5,24,27} {3} {18} {24}	[{24, 27, 5}, {3}, {18}, {24}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_DET}	91	19	2915	333	48978	inf
{17,18,728,730} {24} {3} {105}	[{728, 17, 18, 730}, {24}, {3}, {105}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {pos_NOUN} {pos_PUNCT}	107	8	1265	333	48978	inf
{24} {3} {18} {5} {3,5,26}	[{24}, {3}, {18}, {5}, {26, 3, 5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	87	2	336	333	48978	inf
{24} {3} {18} {5,23,24,25,27} {3,5}	[{24}, {3}, {18}, {5, 23, 24, 25, 27}, {3, 5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	96	4	656	333	48978	inf
{105} {24} {3}	[{105}, {24}, {3}]	{pos_PUNCT} {pos_DET} {pos_NOUN}	87	7	1053	333	48978	inf
{5} {3,5} {17,18} {26}	[{5}, {3, 5}, {17, 18}, {26}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {feats_Gender=Fem}	87	7	1061	333	48978	inf
{5,24} {3,5} {18} {3}	[{24, 5}, {3, 5}, {18}, {3}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_NOUN}	103	11	1653	333	48978	inf
{18} {5} {4} {18}	[{18}, {5}, {4}, {18}]	{pos_ADP} {feats_Number=Sing} {feats_Gender=Masc} {pos_ADP}	83	6	882	333	48978	inf
{23,24,25,27} {3} {17,18} {24} {3}	[{24, 25, 27, 23}, {3}, {17, 18}, {24}, {3}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP} {pos_DET} {pos_NOUN}	92	5	772	333	48978	inf
{24} {3} {18} {5} {26}	[{24}, {3}, {18}, {5}, {26}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing} {feats_Gender=Fem}	98	14	2126	333	48978	inf
{4,5,24} {3,4} {18}	[{24, 4, 5}, {3, 4}, {18}]	{feats_Gender=Masc,feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Masc} {pos_ADP}	91	15	2206	333	48978	inf
{24} {3} {18} {5,24} {3,5,26}	[{24}, {3}, {18}, {24, 5}, {26, 3, 5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	86	2	332	333	48978	inf
{24} {3} {18} {23,24,25,27} {26}	[{24}, {3}, {18}, {24, 25, 27, 23}, {26}]	{pos_DET} {pos_NOUN} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem}	85	2	412	333	48978	inf
{24,27} {3} {17,18,728,730} {5} {5}	[{24, 27}, {3}, {728, 17, 18, 730}, {5}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {feats_Number=Sing}	111	6	968	333	48978	inf
{4} {18} {23,24,25,27} {3,26}	[{4}, {18}, {24, 25, 27, 23}, {26, 3}]	{feats_Gender=Masc} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	101	4	692	333	48978	inf
{3,4} {18} {5,23,24,25,27} {5}	[{3, 4}, {18}, {5, 23, 24, 25, 27}, {5}]	{pos_NOUN,feats_Gender=Masc} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	102	4	628	333	48978	inf
{18} {24,27} {3} {18} {5} {5}	[{18}, {24, 27}, {3}, {18}, {5}, {5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	90	3	465	333	48978	inf
{17,18,728,730} {5,23,24,25,27} {3}	[{728, 17, 18, 730}, {5, 23, 24, 25, 27}, {3}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	175	82	12113	333	48978	inf
